dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
icbhi,primary,SOD,0.8223061138886054,0.021829327955153306,0.41563444916678594,0.03395390460906272,0.6805064049437609,0.021208455201193174,0.4749140652758744,0.041836251442329365
icbhi,primary,COF,0.7790860343048895,0.033623527571076915,0.29055537554339306,0.04352798797418717,0.600106445755923,0.02132897938049386,0.3658324958123953,0.04300628898924166
icbhi,primary,LMDD,0.5679930619324559,0.025038931478517473,0.1735644501806922,0.0325748938934451,0.5607573311232712,0.01804631454762833,0.22338082955351787,0.02935156718979257
icbhi,primary,LUNAR,0.5620197485517351,0.027695696423470226,0.18666788318738348,0.01888722880959161,0.5613862650368056,0.009252706499975507,0.24557575757575756,0.02996906884165732
icbhi,primary,Sampling,0.5603305785123966,0.02391564525985161,0.18489423308701652,0.016686277046418035,0.5586188543835185,0.010855860938073116,0.2142279353680801,0.03326017822862688
icbhi,primary,LODA,0.558836399913841,0.028379950657769548,0.1817275196831544,0.02573485999957563,0.5505471241958926,0.026999673174061965,0.21990680337418417,0.044566965302418854
icbhi,primary,KNN,0.5564194129850696,0.028155099065416026,0.18494902786559342,0.018907275039275157,0.5630306252315822,0.00919933378429258,0.24922846556012385,0.019043118563517068
icbhi,primary,DIF,0.5521227992608464,0.031302587773221265,0.1796024043479476,0.007383649630321696,0.5639196919278436,0.00604278196172024,0.24480745432062506,0.01699503886248302
icbhi,primary,GMM,0.5486832409391331,0.02916304863455161,0.2031368339525627,0.021372391957547518,0.5791323358220399,0.012748578814216514,0.26770956670883067,0.034906345926042665
icbhi,primary,AutoEncoder,0.5466449001802538,0.02731071401565982,0.1916990081576412,0.021748937371857933,0.5686835273402702,0.014249727661459445,0.24041938733066956,0.02936081488930551
icbhi,primary,CBLOF,0.5440918727114014,0.026096992263259775,0.18302452051836676,0.018701237035584715,0.5622776289088535,0.009724262000275645,0.22725176700846092,0.023472754231277117
icbhi,primary,KDE,0.5439195546939655,0.026508648747659513,0.1362505204348744,0.01526930629473055,0.524489385556194,0.010257692950508396,0.14133144657749358,0.021820254575973107
icbhi,primary,ECOD,0.5435499778934123,0.02715797274923652,0.18980017631177204,0.02322428207321865,0.5647335335754617,0.013696534925754098,0.2248366705062536,0.02972451926251027
icbhi,primary,COPOD,0.5434456801460168,0.03182012534153359,0.18886100350914897,0.018600341649815118,0.5667527063415776,0.008454526001087712,0.23526123058521894,0.029691365184447416
icbhi,primary,KPCA,0.5428765772200116,0.02779879522795205,0.18083411257442317,0.019809478883627333,0.5606725892035125,0.010798190565862658,0.23326741095162146,0.029680188374447847
icbhi,primary,OCSVM,0.5379201668763958,0.027801863168945305,0.18445022266607086,0.0216794062114199,0.5635139271502908,0.011754465106542706,0.23074023820292475,0.02687299432877648
icbhi,primary,VAE,0.5367785600108833,0.028871902633985858,0.18202784265651503,0.02118272288314224,0.5618110337231372,0.011148526935369657,0.22439454884864504,0.023519372257722004
icbhi,primary,PCA,0.5360790849006337,0.02930616522272695,0.18259839170579442,0.02119836377785902,0.562177388510899,0.010975983071074532,0.2235540068428062,0.020782968500027574
icbhi,primary,IForest,0.5354034168848985,0.027857194418743184,0.17089589537926467,0.020968106272516177,0.5509075037694566,0.012783827704433169,0.22061519719811176,0.03429215698033917
icbhi,primary,INNE,0.5323527077735832,0.02872772330135814,0.14436432165273233,0.014817517466839018,0.5405054601007943,0.01014443403009313,0.21795941746884906,0.017184421707895567
icbhi,primary,MCD,0.5253001394415536,0.026059115649085994,0.13561014174811672,0.01993565916431009,0.5290300369159132,0.017603315827309448,0.16620015560395013,0.04235986054087771
icbhi,primary,HBOS,0.5224319513881803,0.03173922511545045,0.17572894120398797,0.022289555344343032,0.5624142810346957,0.015429908675953327,0.20810007852434795,0.03400717991526833
icbhi,primary,ABOD,0.5033738053940074,0.018870662515020786,0.0996292614762693,0.004003274194206274,0.49884868421052636,0.0017795893971530214,0.14229627972126713,0.009333068374462825
icbhi,primary,QMCD,0.46558287703068846,0.02943204112940594,0.10419214787185464,0.005078462784411871,0.48785208267753016,0.003688000473409913,0.06389795662895138,0.023317260937877685
icbhi,primary,LOF,0.4603373805394007,0.02667298862766907,0.10628891712732777,0.0069516600793397415,0.5049974015063506,0.007107863554740341,0.1429486828079793,0.02017362816863081
icbhi,secondary,SOD,0.8235894296500357,0.021329536836884808,0.4184270466773742,0.043832204650601475,0.6815052289090922,0.02140166054121491,0.48381861061678055,0.03723544393831919
icbhi,secondary,COF,0.7784965252978722,0.033527557980069116,0.2875404293171971,0.04250886809079877,0.5990038099022682,0.020791030880150583,0.36762981347260953,0.042357348504546664
icbhi,secondary,LMDD,0.566717681869197,0.025388461828242392,0.1722435180945781,0.031639398981926574,0.5599709213345576,0.017449257909493483,0.22696507702126048,0.03008875500179183
icbhi,secondary,LUNAR,0.5634731149882665,0.025012283912423765,0.19204923913168112,0.02003728174414947,0.5669364207375903,0.008226504299752078,0.26032181107557995,0.016127443754654493
