dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
mimii,primary,DIF,0.9223730032553562,0.015108949721508254,0.44188486189821186,0.05795309071933857,0.699566882229421,0.034346944493672406,0.5,0.0489953946493443
mimii,primary,ABOD,0.9212563403739874,0.0,0.5711156080100088,0.0,0.7702324172912408,0.0,0.5925925925925926,0.0
mimii,primary,KPCA,0.9161272617154971,0.0,0.4881783370899668,0.0,0.7312438488909078,0.0,0.5462962962962963,0.0
mimii,primary,AutoEncoder,0.9153512756453933,0.0009023887417094483,0.4413395716437248,0.0027602081976613414,0.7103051747014596,0.00329615527269072,0.5154320987654321,0.00534583582582982
mimii,primary,LOF,0.9152755696873345,0.0,0.5689989957070587,0.0,0.7796657781177906,0.0,0.6111111111111112,0.0
mimii,primary,OCSVM,0.9113293966235142,0.0,0.41594183816434804,0.0,0.6917472536667583,0.0,0.5,0.0
mimii,primary,KNN,0.9107426754485578,0.0,0.4524431019478105,0.0,0.71371194281411,0.0,0.5092592592592593,0.0
mimii,primary,VAE,0.9099793070381305,0.00043544638571516947,0.40917376229748,0.0017342213462863065,0.6875302989854073,0.0013460061161588168,0.5,0.0
mimii,primary,CBLOF,0.9089919751684458,0.0007872714412821966,0.4070157172363504,0.0020411275377630765,0.6863349417528983,0.0019737057058528498,0.5,0.0
mimii,primary,PCA,0.9089541221894163,0.0,0.40587430064424407,0.0,0.6846249168230593,0.0,0.5,0.0
mimii,primary,Sampling,0.9083831730890554,0.0023553849544976535,0.42386934261953296,0.007993928759275248,0.7001778425927032,0.004447257435879552,0.5092592592592593,0.0
mimii,primary,COPOD,0.8840373987432811,0.0,0.31598809476855705,0.0,0.6148160544445375,0.0,0.3703703703703704,0.0
mimii,primary,LODA,0.8798388724859313,0.015636603387417746,0.32446137565446675,0.06188342179991951,0.614537137756952,0.06423307992600576,0.3796296296296296,0.11226255234242723
mimii,primary,ECOD,0.8765046559164208,0.0,0.2817347527507309,0.0,0.5717831940742157,0.0,0.28703703703703703,0.0
mimii,primary,LUNAR,0.8762365306482952,0.002034714993025988,0.5463476660465596,0.013554124509970419,0.7527469973290407,0.003443305724809697,0.5740740740740741,0.0092592592592593
mimii,primary,IForest,0.8697889065536124,0.008920614561661634,0.2750249435271683,0.007168929046829556,0.5663210756090012,0.009470447364123112,0.28703703703703703,0.02777777777777779
mimii,primary,HBOS,0.8574362177303354,0.0,0.260869291533204,0.0,0.5614035087719298,0.0,0.28703703703703703,0.0
mimii,primary,MCD,0.8540231407878466,0.01828918480987312,0.4641663527588206,0.010653507841955312,0.7303108061621993,0.005018773979649759,0.5370370370370371,0.0
mimii,primary,GMM,0.839957604663487,0.0,0.6478749122619283,0.0,0.7745157807077311,0.0,0.5462962962962963,0.0
mimii,primary,QMCD,0.8384056325232795,0.0,0.22710879460760833,0.0,0.5375461706731056,0.0,0.21296296296296294,0.0
mimii,primary,INNE,0.7522585610820904,0.009320758458919328,0.16633015487455063,0.005262252132833459,0.527148841816978,0.002016071171257164,0.2850182956572966,0.007864658426109557
mimii,primary,KDE,0.7438772806419864,0.0,0.439729068443587,0.0,0.7045973439162293,0.0,0.47222222222222215,0.0
mimii,primary,SOD,0.6811769752946223,0.0033643709519141033,0.1542612421973192,0.006247262642733283,0.5212361853228726,0.0029651983614047087,0.1574074074074074,0.009259259259259266
mimii,primary,COF,0.3877659171776819,0.0,0.0753591294048783,0.0,0.49343748879352595,0.0,0.05555555555555555,0.0
mimii,secondary,DIF,0.9305587099704747,0.005882386738382064,0.4769105045120498,0.021453994201959987,0.7304336623222073,0.005293434404395739,0.5648148148148148,0.009259259259259259
mimii,secondary,LOF,0.9083957907487319,0.002209439670125055,0.5217856646660269,0.0038785400178243798,0.7695185233884924,0.001304944318850119,0.5864197530864198,0.005345835825829868
mimii,secondary,OCSVM,0.9055441996618466,5.7821380560664315e-05,0.3800821151641111,0.0008820033996433562,0.6706359167659478,0.0007320941852622804,0.48148148148148145,0.0
mimii,secondary,AutoEncoder,0.9051972140207435,0.0013335118850477106,0.39161778300004607,0.00436131261079004,0.6812579939514923,0.0033928901291482767,0.4876543209876543,0.005345835825829892
mimii,secondary,PCA,0.9042855881091175,0.00024169900263057344,0.37294063011514994,0.002699215484851732,0.6631284092584403,0.0018871885680632869,0.48148148148148145,0.0
