dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
mimii,primary,DIF,0.9202816261639791,0.010765431906790237,0.5397328632373848,0.045168532156444965,0.7427491622538062,0.029491447853165098,0.5425925925925925,0.05011988371379396
mimii,primary,GMM,0.6727136800666212,0.0,0.16850909549816429,0.0,0.5618517677341207,0.0,0.3055555555555556,0.0
mimii,primary,KDE,0.6640264213793625,0.0,0.3737830603510625,0.0,0.6230241741077654,0.0,0.26851851851851855,0.0
mimii,primary,MCD,0.6621829813006284,0.009125209222614233,0.24018984575656327,0.03519500613486988,0.6174597861904363,0.013056471048637422,0.3148148148148148,0.0
mimii,primary,VAE,0.6236883942766295,0.014044560922112379,0.36978856595175763,0.014695195432759768,0.6326467998294623,0.0018150371116870856,0.28703703703703703,0.0
mimii,primary,OCSVM,0.6190381558028617,0.0,0.37637302592437827,0.0,0.6336429308565531,0.0,0.28703703703703703,0.0
mimii,primary,Sampling,0.6153550609432962,0.03856039447389046,0.36799459146791924,0.022165861488386746,0.6326667224500041,0.002182868357250216,0.28703703703703703,0.0
mimii,primary,AutoEncoder,0.6125577257930199,0.014365700202771732,0.3743919411150751,0.0025667755459470865,0.6335034725127604,0.00021824137350733372,0.28703703703703703,0.0
mimii,primary,KPCA,0.599070709364827,0.0,0.3726925863482818,0.0,0.6336429308565531,0.0,0.28703703703703703,0.0
mimii,primary,KNN,0.5959951548186843,0.0,0.372251032214941,0.0,0.6336429308565531,0.0,0.28703703703703703,0.0
mimii,primary,CBLOF,0.5958058899235369,0.0428017774327876,0.36934049121566026,0.01310729533788817,0.6330850974813823,0.0011089090589031848,0.28703703703703703,0.0
mimii,primary,PCA,0.5917840109016579,0.0,0.3695465792148024,0.0,0.6332444784457169,0.0,0.28703703703703703,0.0
mimii,primary,ABOD,0.5799454917101976,0.0,0.09971232814241049,0.0,0.4793322734499205,0.0,0.046296296296296294,0.0
mimii,primary,LOF,0.5777405556817322,0.0,0.23629263961767225,0.0,0.5984994282207905,0.0,0.25925925925925924,0.0
mimii,primary,LUNAR,0.5685971685971686,0.018116251233236604,0.09454631528213286,0.0044247856662741674,0.47458869749891425,0.0002960370022195022,0.016666666666666666,0.00414086662499961
mimii,primary,COPOD,0.5513854190324778,0.0,0.10340229566970476,0.0,0.5133003414737161,0.0,0.12962962962962962,0.0
mimii,primary,ECOD,0.5469376939965176,0.0,0.09108953777447078,0.0,0.4883074140040085,0.0,0.05555555555555556,0.0
mimii,primary,INNE,0.5200034067681126,0.07096596262783832,0.0957695852599985,0.012054655659979062,0.4995665639327438,0.005828166221808529,0.15512312678811985,0.031047741511982627
mimii,primary,SOD,0.513583541524718,0.0026461371300438422,0.1638003556706547,0.004563736398502371,0.5320614732379438,0.002980659739232314,0.15925925925925927,0.015214515486254607
mimii,primary,LODA,0.4947573624044212,0.10899340882736892,0.20277708241302514,0.14571279188450575,0.5527989289599197,0.0767598369312243,0.15555555555555556,0.13987305630208663
mimii,primary,LMDD,0.48892989628283745,0.055114953062405464,0.10701165877394332,0.021573445127310163,0.5173745173745173,0.03227607641574297,0.14074074074074075,0.06910410428535294
mimii,primary,COF,0.4250889545007192,0.0,0.1219517891925693,0.0,0.5145255826370377,0.0,0.09259259259259259,0.0
mimii,primary,QMCD,0.42194715724127485,0.0,0.07634350457928879,0.0,0.4865641847065996,0.0,0.05555555555555556,0.0
mimii,primary,IForest,0.4045821031115149,0.08707920969127798,0.07102270813903692,0.00873060260321648,0.4769355821987401,0.0032991988945598925,0.018518518518518517,0.02268046058132572
mimii,primary,HBOS,0.19817927170868346,0.0,0.0538792962253861,0.0,0.47368421052631576,0.0,0.0,0.0
mimii,secondary,DIF,0.8876542508895451,0.01879839140530113,0.3456701823995302,0.0517518693094591,0.6358344191161528,0.03996904154461542,0.39629629629629626,0.07785490003547373
mimii,secondary,MCD,0.670457642516466,0.008899751787975719,0.2711113766457461,0.007328507274967915,0.6278215411342346,0.0015712463211939517,0.3166666666666667,0.004140866624999605
