dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
mimii,primary,DIF,0.8846752214399274,0.013596322627216034,0.4521701456055015,0.038206391177066416,0.7036988337297936,0.026490803895051367,0.48888888888888893,0.050883820977904004
mimii,primary,COPOD,0.8809050647285941,0.0,0.3533545391708599,0.0,0.6519219352036689,0.0,0.42592592592592593,0.0
mimii,primary,KPCA,0.8732966159436748,0.0,0.4296667587006257,0.0,0.7061612696287619,0.0,0.49074074074074076,0.0
mimii,primary,AutoEncoder,0.871967976379741,0.002080876932949725,0.40105749782250444,0.005459847424010697,0.6902749720087181,0.0031269582692516323,0.4833333333333333,0.007746852097537756
mimii,primary,HBOS,0.8706942236354,0.0,0.335843592323371,0.0,0.6254447725035961,0.0,0.37962962962962965,0.0
mimii,primary,QMCD,0.8706374441668558,0.0,0.32430280269674366,0.0,0.6195675994437605,0.0,0.40740740740740733,0.0
mimii,primary,Sampling,0.8703270497388145,0.005045726320007157,0.3957175761473271,0.0091644258154816,0.6875117045395683,0.0044825420287290365,0.48888888888888893,0.012072597046671601
mimii,primary,KNN,0.8689624498448028,0.0,0.4181619936330305,0.0,0.7002143673970299,0.0,0.4814814814814815,0.0
mimii,primary,CBLOF,0.8679442047089105,0.0009316515200791698,0.3878701664755472,0.0019253744859979243,0.6831665809993984,0.001024044982585063,0.47777777777777775,0.00507150516208486
mimii,primary,PCA,0.8659342115224469,0.0,0.3824124034654548,0.0,0.6792657318973109,0.0,0.4814814814814815,0.0
mimii,primary,OCSVM,0.8651771519418577,0.0,0.38790088734627853,0.0,0.6831207589721522,0.0,0.4814814814814815,0.0
mimii,primary,LOF,0.8651487622075857,0.0,0.4955383748654956,0.0,0.7390634774535704,0.0,0.5370370370370371,0.0
mimii,primary,IForest,0.8639052918464684,0.013782803569978632,0.35337671183844144,0.02900707967461576,0.6473835622442434,0.014723375292819073,0.40925925925925927,0.004140866624999631
mimii,primary,VAE,0.863371564842153,0.00023869147335227146,0.38323104148330683,0.0012187074325146778,0.6799092325408115,0.0007295461257988255,0.4722222222222222,0.0
mimii,primary,ABOD,0.861060640472405,0.0,0.4905121800036996,0.0,0.7085719067143216,0.0,0.4814814814814815,0.0
mimii,primary,ECOD,0.8586948292830645,0.0,0.32033395011118737,0.0,0.6253850046419706,0.0,0.39814814814814814,0.0
mimii,primary,LUNAR,0.8582538420773715,0.001679860557026751,0.4695428161822505,0.011865679419236805,0.7190771045260209,0.0072201759283058616,0.5185185185185185,0.016037507477489586
mimii,primary,LODA,0.8512245438716027,0.02823142910744561,0.3595117885436272,0.0547071807100865,0.6619728972670149,0.03533180986165793,0.437037037037037,0.05722791533467571
