dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
mimii,primary,DIF,0.9202816261639791,0.010765431906790237,0.5397328632373848,0.045168532156444965,0.7427491622538062,0.029491447853165098,0.5078787878787878,0.016262312563634806,0.2
mimii,primary,GMM,0.6727136800666212,0.0,0.16850909549816429,0.0,0.5618517677341207,0.0,0.2606060606060606,0.0,0.2
mimii,primary,KDE,0.6640264213793625,0.0,0.3737830603510625,0.0,0.6230241741077654,0.0,0.18787878787878787,0.0,0.2
mimii,primary,MCD,0.6621829813006284,0.009125209222614233,0.24018984575656327,0.03519500613486988,0.6174597861904363,0.013056471048637422,0.2363636363636364,0.008570991287109664,0.2
mimii,primary,VAE,0.6236883942766295,0.014044560922112379,0.36978856595175763,0.014695195432759768,0.6326467998294623,0.0018150371116870856,0.1890909090909091,0.002710385427272477,0.2
mimii,primary,OCSVM,0.6190381558028617,0.0,0.37637302592437827,0.0,0.6336429308565531,0.0,0.18787878787878787,0.0,0.2
mimii,primary,Sampling,0.6153550609432962,0.03856039447389046,0.36799459146791924,0.022165861488386746,0.6326667224500041,0.002182868357250216,0.18787878787878787,0.0,0.2
mimii,primary,AutoEncoder,0.6125577257930199,0.014365700202771732,0.3743919411150751,0.0025667755459470865,0.6335034725127604,0.00021824137350733372,0.18787878787878787,0.0,0.2
mimii,primary,KPCA,0.599070709364827,0.0,0.3726925863482818,0.0,0.6336429308565531,0.0,0.18787878787878787,0.0,0.2
mimii,primary,KNN,0.5959951548186843,0.0,0.372251032214941,0.0,0.6336429308565531,0.0,0.18787878787878787,0.0,0.2
mimii,primary,CBLOF,0.5958058899235369,0.0428017774327876,0.36934049121566026,0.01310729533788817,0.6330850974813823,0.0011089090589031848,0.19030303030303028,0.00542077085454495,0.2
mimii,primary,PCA,0.5917840109016579,0.0,0.3695465792148024,0.0,0.6332444784457169,0.0,0.18787878787878787,0.0,0.2
mimii,primary,ABOD,0.5799454917101976,0.0,0.09971232814241049,0.0,0.4793322734499205,0.0,0.12727272727272726,0.0,0.2
mimii,primary,LOF,0.5777405556817322,0.0,0.23629263961767225,0.0,0.5984994282207905,0.0,0.19393939393939394,0.0,0.2
mimii,primary,LUNAR,0.5685971685971686,0.018116251233236604,0.09454631528213286,0.0044247856662741674,0.47458869749891425,0.0002960370022195022,0.09575757575757575,0.03042400096487548,0.2
mimii,primary,COPOD,0.5513854190324778,0.0,0.10340229566970476,0.0,0.5133003414737161,0.0,0.11515151515151516,0.0,0.2
mimii,primary,ECOD,0.5469376939965176,0.0,0.09108953777447078,0.0,0.4883074140040085,0.0,0.09696969696969697,0.0,0.2
mimii,primary,INNE,0.5200034067681126,0.07096596262783832,0.0957695852599985,0.012054655659979062,0.4995665639327438,0.005828166221808529,0.15512312678811985,0.031047741511982627,0.2
mimii,primary,SOD,0.513583541524718,0.0026461371300438422,0.1638003556706547,0.004563736398502371,0.5320614732379438,0.002980659739232314,0.17212121212121212,0.006910154091509927,0.2
mimii,primary,LODA,0.4947573624044212,0.10899340882736892,0.20277708241302514,0.14571279188450575,0.5527989289599197,0.0767598369312243,0.11757575757575758,0.09597979585371712,0.2
mimii,primary,LMDD,0.48892989628283745,0.055114953062405464,0.10701165877394332,0.021573445127310163,0.5173745173745173,0.03227607641574297,0.16484848484848486,0.06051508323086845,0.2
mimii,primary,COF,0.4250889545007192,0.0,0.1219517891925693,0.0,0.5145255826370377,0.0,0.12121212121212122,0.0,0.2
mimii,primary,QMCD,0.42194715724127485,0.0,0.07634350457928879,0.0,0.4865641847065996,0.0,0.07878787878787878,0.0,0.2
mimii,primary,IForest,0.4045821031115149,0.08707920969127798,0.07102270813903692,0.00873060260321648,0.4769355821987401,0.0032991988945598925,0.033939393939393936,0.02861992473483053,0.2
mimii,primary,HBOS,0.19817927170868346,0.0,0.0538792962253861,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,DIF,0.8996952835188129,0.019949398242200718,0.35331678491720925,0.05016095576783696,0.641552211211654,0.03538626801555481,0.4715151515151515,0.04874927891440048,0.2
mimii,secondary,MCD,0.6565315315315315,0.01159763018419034,0.2700776287837026,0.017322171300614145,0.6276980208868753,0.003683310820820276,0.24484848484848482,0.016374855861947014,0.2
mimii,secondary,COPOD,0.5262321144674086,0.0,0.09077087406152347,0.0,0.4990656290965888,0.0,0.09696969696969697,0.0,0.2
mimii,secondary,SOD,0.515618139147551,0.002559633654211077,0.15564291922756868,0.002793546205117525,0.5337608727701607,0.0020342424839292204,0.15393939393939393,0.006910154091509927,0.2
mimii,secondary,ECOD,0.5132580059050647,0.0,0.08585375484803437,0.0,0.48910431882568106,0.0,0.09090909090909091,0.0,0.2
mimii,secondary,CBLOF,0.449278900749489,0.029189969728318124,0.07538818287679856,0.003432453374200165,0.47368421052631576,0.0,0.009696969696969697,0.0054207708545449445,0.2
mimii,secondary,Sampling,0.4252119766825649,0.10873588357548715,0.07425836854930302,0.01089131374761039,0.4784895466010017,0.006508074001099101,0.03878787878787878,0.03600836552124351,0.2
mimii,secondary,QMCD,0.42262851086380493,0.0,0.0723259290576111,0.0,0.47368421052631576,0.0,0.012121212121212121,0.0,0.2
mimii,secondary,COF,0.4161177984707397,0.0,0.11236773584905549,0.0,0.5173944399950592,0.0,0.12727272727272726,0.0,0.2
mimii,secondary,GMM,0.40704254674842916,0.0,0.07017960704698767,0.0,0.48456196134214713,0.0,0.030303030303030304,0.0,0.2
mimii,secondary,OCSVM,0.3976360814596109,0.0,0.06938984202745821,0.0,0.47368421052631576,0.0,0.006060606060606061,0.0,0.2
mimii,secondary,LMDD,0.3929356877886289,0.05192610686093141,0.07274481025297755,0.008814864397082766,0.47597730415067874,0.004374911757892595,0.06303030303030303,0.056950351325253376,0.2
mimii,secondary,PCA,0.38068741009917484,0.0,0.06773711254990603,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,IForest,0.37035165417518356,0.07188300974688655,0.06688931687932442,0.006581140870410104,0.47428985819078695,0.0009612380535698045,0.020606060606060607,0.016374855861947025,0.2
mimii,secondary,VAE,0.34522484669543496,0.03517493779204011,0.06368910690375032,0.0032967246647056412,0.47368421052631576,0.0,0.007272727272727273,0.006639061303092922,0.2
mimii,secondary,LODA,0.344252025134378,0.13723483569433576,0.06582379014115974,0.012437689845152889,0.4740687171027728,0.000859782842753674,0.010909090909090908,0.016262312563634834,0.2
mimii,secondary,KDE,0.32416534181240064,0.003952003289840124,0.06148694621005113,0.00033236600109785673,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,KPCA,0.31745400863047923,0.0,0.06365639411449212,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,ABOD,0.31599666893784545,0.0,0.07204459287584408,0.0,0.506606340971666,0.0,0.10303030303030303,0.0,0.2
mimii,secondary,KNN,0.2514857294269059,0.0,0.05766993576648845,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,AutoEncoder,0.2240461049284579,0.020318055463606145,0.055131917883408,0.001219364428357035,0.47368421052631576,0.0,0.0012121212121212121,0.0027103854272724722,0.2
mimii,secondary,LUNAR,0.1892838216367628,0.0028222927701581006,0.05350540295012981,0.0001968018816689136,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,INNE,0.18634548413960178,0.017005875076696455,0.05412823604637975,0.0016461644311554044,0.4746595090429947,0.000536838185823022,0.010426165613082839,0.002832564571328297,0.2
mimii,secondary,HBOS,0.17718979483685365,0.0,0.05281464018843306,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
mimii,secondary,LOF,0.16355325914149443,0.0,0.051926947531662916,0.0,0.47368421052631576,0.0,0.0,0.0,0.2
