dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
nsynth,primary,COF,0.9633075612632682,0.009590876314339008,0.8004520353848112,0.02371077858622097,0.8834863334459856,0.010510692366366663,0.7507692307692307,0.029592898556417453
nsynth,primary,SOD,0.9454593107063294,0.021873657974431044,0.7528119875666542,0.050207281915918354,0.8511059459683148,0.02899591174751298,0.6984615384615385,0.03541804440991178
nsynth,primary,LOF,0.603412396802516,0.04735665693420767,0.1514362260707277,0.01859650767185507,0.5216326755822855,0.011027808173844541,0.16923076923076924,0.036080121229411004
nsynth,primary,HBOS,0.5895741056218059,0.03990742902925561,0.273097551170808,0.03304602785598321,0.5829228424225286,0.014772837092226564,0.26153846153846155,0.03076923076923077
nsynth,primary,OCSVM,0.5643559166557462,0.043838216576244905,0.13339756979712125,0.025808875577388684,0.5211333273558683,0.02215698268552181,0.16615384615384615,0.05797367286589776
nsynth,primary,VAE,0.5582073122788624,0.04663494767658127,0.136821129471337,0.034112269768541294,0.5273103476815482,0.030484257665236044,0.16615384615384615,0.08097044533502011
nsynth,primary,INNE,0.5581811033940506,0.05076291790642841,0.13421705088310606,0.032913939052282584,0.5095572767589266,0.02095697441446527,0.13230769230769232,0.05171611173529727
nsynth,primary,IForest,0.5569859782466257,0.06948536493875795,0.20063679553777708,0.07028941033006582,0.5481864141417624,0.03789118147264482,0.18461538461538463,0.0605692913385524
nsynth,primary,KPCA,0.5532538330494038,0.04560604499093111,0.11463221073483484,0.01924372831200221,0.4981688266006386,0.015015402631018193,0.08307692307692308,0.031902217466658035
nsynth,primary,Sampling,0.551497837767003,0.04672978970038813,0.1275606586002113,0.024801837784479978,0.5127989019856679,0.016780439062521895,0.12923076923076923,0.046916771329159716
nsynth,primary,LUNAR,0.5512305071419211,0.04852713709338178,0.1427620022937624,0.027181417024857917,0.5200794543034298,0.0194051691296922,0.14461538461538465,0.04937478934117296
nsynth,primary,PCA,0.5505019001441489,0.04047375974309055,0.13680858394884265,0.025664671770926063,0.5295919000751781,0.022186214558574203,0.19076923076923077,0.05610640778095529
nsynth,primary,CBLOF,0.5473830428515267,0.05206505825085225,0.1338414062115719,0.028508853503566602,0.5247308416500562,0.02417231939532866,0.1753846153846154,0.073460531608082
nsynth,primary,LMDD,0.546984667802385,0.036382583521021035,0.15565870165394974,0.04259172342610461,0.5378959783155963,0.027895118811466443,0.19692307692307692,0.052623481158421755
nsynth,primary,LODA,0.5436771065391167,0.02885056016673199,0.1357611290271937,0.03568318066265281,0.5252632958362359,0.033093945751765726,0.16923076923076924,0.04741856925360751
nsynth,primary,AutoEncoder,0.5434202594679597,0.05298828368330532,0.1101842212728154,0.018300489318520154,0.4932001738062888,0.014182493977533265,0.06769230769230769,0.029990136445566043
nsynth,primary,KNN,0.5422198925435723,0.05402097366334459,0.11367518577536977,0.020250690673509878,0.49599210974625657,0.01319862438095353,0.11384615384615385,0.04432264704888595
nsynth,primary,KDE,0.5388808806185297,0.045529796794601236,0.11821230348995822,0.020470065228927976,0.5010462862699929,0.012783172009891517,0.10461538461538462,0.03508232077228118
nsynth,primary,GMM,0.5372454462062639,0.042823784359076765,0.10438255995372525,0.014328395417708936,0.4882122092020774,0.01263317998077978,0.055384615384615386,0.04937478934117296
nsynth,primary,ECOD,0.533083475298126,0.033478777458136745,0.11955637655448108,0.02250819114478384,0.5121726475801612,0.02274241916699757,0.16615384615384615,0.07874759318196756
nsynth,primary,COPOD,0.5295872100642118,0.04059742129251886,0.1290252874765962,0.02361839002826962,0.5214312809937305,0.023042786991808548,0.19692307692307692,0.0716665519929361
nsynth,primary,ABOD,0.5265731883108373,0.04275534593319221,0.1174083114105137,0.01774242256243229,0.5123740421687162,0.012357030921540288,0.12615384615384614,0.033353051367198155
nsynth,primary,DIF,0.5232132092779451,0.05846282703713272,0.11394684782373081,0.02414593297202323,0.5116677816937837,0.021242179306118263,0.12923076923076923,0.07016464154456234
nsynth,primary,MCD,0.4969204560345958,0.04630644555733801,0.10370400246705849,0.01939983077534556,0.5076757547124264,0.02415803541814922,0.10153846153846154,0.06490776341455073
nsynth,primary,QMCD,0.42783907744725463,0.04959657830148837,0.15738776861578216,0.030028474822301227,0.5371179882611784,0.015866200673905245,0.15076923076923077,0.03982208955552242
nsynth,secondary,COF,0.9630664395229983,0.01001229826636496,0.8008349445523762,0.026681997837635765,0.8824931546531116,0.011769205557502457,0.7538461538461538,0.02664693550105968
nsynth,secondary,SOD,0.9482793867120953,0.021733713582084497,0.7535164575208109,0.03712773150957727,0.8552552262585438,0.024159807545212863,0.7076923076923076,0.0407038663240706
nsynth,secondary,LOF,0.5929288428777355,0.05135874035645357,0.13451907844602634,0.017154964045617966,0.49898819910475967,0.005345269574274758,0.12615384615384614,0.03982208955552242
nsynth,secondary,HBOS,0.5818477263792425,0.047479351962888675,0.2530171441851987,0.030432621149647534,0.5821338170481899,0.02027244980864777,0.26461538461538464,0.054826245172939894
nsynth,secondary,LMDD,0.5603800288297732,0.046990183961260285,0.15286078296027444,0.04142071847474066,0.5356392553917884,0.029921892105468875,0.18769230769230769,0.05797367286589777
nsynth,secondary,OCSVM,0.5578928056611192,0.0448862890718024,0.1293106183476725,0.025502415919830643,0.518777286552773,0.021181697599399904,0.15692307692307694,0.05694386314868231
nsynth,secondary,VAE,0.556723889398506,0.04918090914937075,0.13160867872275475,0.026197458544962464,0.5252991606259785,0.021905558261252008,0.16923076923076924,0.0605692913385524
nsynth,secondary,LUNAR,0.5486515528764252,0.050288206471292105,0.14304708030329177,0.022124754856266495,0.5194007821282994,0.010369895656355675,0.1753846153846154,0.03705106024243783
nsynth,secondary,CBLOF,0.5458367186476215,0.05334563586845756,0.13523072864555674,0.03958302239659047,0.526568222416873,0.03377263077674539,0.16307692307692306,0.07661476675685375
nsynth,secondary,IForest,0.5456847071157123,0.04363796872449818,0.19306168353022818,0.06833785561604944,0.5509259323121064,0.03788457433330345,0.20923076923076925,0.06017725297110138
nsynth,secondary,PCA,0.545291573843533,0.04107838505798269,0.1329261949307276,0.025742350983882802,0.5269792880839236,0.022642895590580147,0.18461538461538463,0.05756395979652218
nsynth,secondary,INNE,0.5452077054121347,0.05110451154685115,0.11855082818359597,0.019684601358549023,0.501115257019498,0.016423563619143704,0.10769230769230771,0.044853476114194615
nsynth,secondary,KPCA,0.5396304547241515,0.0477010149387875,0.10913796356780647,0.01757088238280316,0.4938926401313203,0.012166049215779545,0.08,0.03152907927987569
nsynth,secondary,AutoEncoder,0.5387026602018085,0.04470433509938322,0.107581009910054,0.017427805713329244,0.4896026595121009,0.013104805404892766,0.06461538461538462,0.029592898556417453
nsynth,secondary,KNN,0.5376176123705937,0.055330510870269516,0.10939164702102466,0.018324005145889378,0.4898868190000621,0.00968207146411603,0.08923076923076924,0.03335305136719816
nsynth,secondary,LODA,0.5313065129078758,0.01983078430800001,0.12394537163670764,0.020593814699358885,0.5189759223113477,0.02454538956058428,0.15076923076923077,0.06192188245384034
nsynth,secondary,ECOD,0.530530729917442,0.034354472847452494,0.11735752902660967,0.022547477260031385,0.5110304919683563,0.022820345124472396,0.15076923076923077,0.08097044533502011
