dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
nsynth,primary,COF,0.9535893067749968,0.013000536826151201,0.6395494038818083,0.03893719373867022,0.804716219851161,0.033658512976911914,0.6215384615384616,0.05817744738827396
nsynth,primary,SOD,0.9163307561263269,0.020784154624205353,0.6641806010840761,0.04246122889019625,0.7779445337232479,0.019194923644304526,0.5938461538461539,0.013760418323075636
nsynth,primary,DIF,0.5894011269820469,0.009315509284353266,0.1245408139964185,0.016315301087244178,0.5015070108766871,0.014082036803078183,0.10769230769230771,0.03076923076923077
nsynth,primary,GMM,0.5552142576333378,0.02473873977575095,0.21043562115942588,0.043155957850789746,0.5576712716137087,0.012911967576211896,0.19692307692307692,0.02527950265408459
nsynth,primary,QMCD,0.5527663477919015,0.01179784733122774,0.15812493380238635,0.0257879857373149,0.527790384098104,0.016634431081905713,0.16923076923076924,0.04485347611419462
nsynth,primary,ABOD,0.552048224348054,0.032915566164519634,0.12159884611518224,0.008852694627875564,0.5022463773113823,0.007359916476247737,0.13846153846153847,0.028781979898261097
nsynth,primary,LOF,0.5452863320665706,0.01769346847623387,0.1465818794273162,0.03292884547714028,0.5295725882653166,0.025029420566881663,0.18153846153846157,0.04791511231506904
nsynth,primary,COPOD,0.5151146638710523,0.01213525707972755,0.11007379303134099,0.009841016030371606,0.5008476505114181,0.014142614563195342,0.11384615384615385,0.035418044409911816
nsynth,primary,LUNAR,0.4946979426025423,0.011239569557711429,0.1201465149509893,0.018930667474147407,0.5137258688590169,0.020983777624180803,0.12923076923076923,0.052847889345592834
nsynth,primary,KPCA,0.49334032236928327,0.01738386747827684,0.1066957018664425,0.007364271822365949,0.4973053128168344,0.013959674929134486,0.10461538461538462,0.03982208955552242
nsynth,primary,AutoEncoder,0.48906827414493514,0.017506658133356542,0.09878901433784928,0.006359627269959101,0.4893267765140804,0.011704061849232748,0.06769230769230769,0.031902217466658035
nsynth,primary,KDE,0.4889791639365745,0.01510493773172444,0.11260363768234036,0.011436431498693805,0.5070577767968605,0.013015665288579356,0.12615384615384614,0.03335305136719815
nsynth,primary,KNN,0.4862219892543573,0.011984231463293412,0.10925547287301114,0.012535573411188994,0.5027043430880964,0.016070496628105526,0.11076923076923077,0.04128125496922689
nsynth,primary,LMDD,0.46513956231162357,0.02518434911884515,0.09874776949774446,0.01154749335612072,0.4883225624012856,0.012990205910106536,0.06153846153846154,0.04213250442347432
nsynth,primary,ECOD,0.46251867383042844,0.01032679285226713,0.09801126653193956,0.005768736214539971,0.4924083896019698,0.011429319352873791,0.06769230769230769,0.035418044409911816
nsynth,primary,INNE,0.45852968156204954,0.021673128638619983,0.10985154746947963,0.006174106969589054,0.5181979322569299,0.010294831079390637,0.11978021978021977,0.03830423089655687
nsynth,primary,IForest,0.45400602804350676,0.0304128592749684,0.09737133407893275,0.008671907802634762,0.4931725855064867,0.015630437882702297,0.06461538461538462,0.052623481158421755
nsynth,primary,HBOS,0.44788363255143493,0.007819432972282934,0.09328115391731898,0.005955205457257951,0.4917545468966612,0.012735239255442076,0.06461538461538462,0.036730265804041
nsynth,primary,CBLOF,0.4472913117546848,0.02451093105252311,0.09057762343386569,0.0057467721555139566,0.4865734641938354,0.009797098200735477,0.04923076923076923,0.02752083664615126
nsynth,primary,OCSVM,0.4434700563491024,0.010041245965199015,0.08981073861029591,0.006098625572094154,0.4872079950892827,0.009882512537579418,0.055384615384615386,0.031902217466658035
nsynth,primary,Sampling,0.4400104835539248,0.020869865249273103,0.08933351574309426,0.009020066009551781,0.4868879708115788,0.012055417805043607,0.055384615384615386,0.04296689244236598
nsynth,primary,MCD,0.4370017035775128,0.02204535228252196,0.0869128652925167,0.003071905788888468,0.4910400099317879,0.008793510362521762,0.07076923076923078,0.03370600353877945
nsynth,primary,LODA,0.4323207967500983,0.05540538846703189,0.09145062021467838,0.012971656063624892,0.4876797550158978,0.014085676505499129,0.05846153846153847,0.04913452130052712
nsynth,primary,VAE,0.4289713012711309,0.01235487775200575,0.08722044650608186,0.005337612715719567,0.48591134499858607,0.00934641761137731,0.04923076923076923,0.02752083664615126
nsynth,primary,PCA,0.42800681431005116,0.011116191925447575,0.08702452616641145,0.005466513195040254,0.4859941098979922,0.009351800870986436,0.04923076923076923,0.02752083664615126
nsynth,secondary,COF,0.9544961341894902,0.012249175923780276,0.6499959746891526,0.03734937392308742,0.808084751256992,0.03188461191017501,0.6246153846153846,0.049374789341173
nsynth,secondary,SOD,0.9191508321320928,0.023943730581057747,0.6731450457357254,0.040466071877675494,0.7847395319644939,0.02073417296532873,0.5938461538461539,0.037051060242437824
nsynth,secondary,DIF,0.5917546848381601,0.029173406242647037,0.12721918913457494,0.022412362787246776,0.5041223816979219,0.021318671461707506,0.12307692307692308,0.0565266863719195
