dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
nsynth,primary,SOD,0.9717425949332308,0.01194764858211083,0.7628218722069613,0.03735549599193488,0.9021238318635518,0.01746072627806282,0.6967741935483871,0.0668917463010572,0.05
nsynth,primary,COF,0.9673682475133264,0.01091433516141049,0.6684643129218031,0.03849298789270289,0.875184747052001,0.011747502258029839,0.6516129032258065,0.06993381738283491,0.05
nsynth,primary,LOF,0.6179150409408144,0.041253365110164676,0.09029544547023857,0.01451172756527601,0.5229288807004047,0.023779270393062983,0.07741935483870968,0.03677985242255284,0.05
nsynth,primary,HBOS,0.6024289718085398,0.04680972211127606,0.2023981871037955,0.024799228591334474,0.5839568696980126,0.020274996010091476,0.17880184331797233,0.015985758206755993,0.05
nsynth,primary,LMDD,0.5752596581854152,0.060577370092134174,0.1165242361652031,0.040546888699259126,0.5490291922034575,0.023763200058424336,0.12903225806451613,0.022809896167307983,0.05
nsynth,primary,IForest,0.5680606693411002,0.08513770328464963,0.11691950526447456,0.044686737105007424,0.5448411103044747,0.03228734412232373,0.12903225806451613,0.08224225021923846,0.05
nsynth,primary,OCSVM,0.5674122108039786,0.05522882099910653,0.07329634145030886,0.019243331942208244,0.5191688624209311,0.026194461701494556,0.09032258064516129,0.062049626005391434,0.05
nsynth,primary,LUNAR,0.5582348738803099,0.05402354662388834,0.07923384629333141,0.018175247842507458,0.5185961827137497,0.02260545501626315,0.0967741935483871,0.05587260669577023,0.05
nsynth,primary,LODA,0.5576523602791669,0.04194863126136201,0.08561290564035616,0.03492982675195526,0.5311604284106981,0.041687088718138775,0.12903225806451613,0.09404761120718227,0.05
nsynth,primary,PCA,0.55737758971259,0.055493214905732544,0.07603873201603359,0.020633116485604803,0.5288407863644384,0.026286224637250957,0.0967741935483871,0.03950789907714803,0.05
nsynth,primary,KPCA,0.5569819200967192,0.04045310727904089,0.060730208579673796,0.01055309520085267,0.4953997622511519,0.014485456543342753,0.05161290322580645,0.03677985242255284,0.05
nsynth,primary,INNE,0.5566961587074792,0.05639184290379848,0.07949020967735496,0.030335775283342817,0.5129503706510328,0.020769766337815687,0.07096774193548387,0.04784644185223008,0.05
nsynth,primary,Sampling,0.5559377919437269,0.055752520181863774,0.06980571771411007,0.016910337959440205,0.5118859962457664,0.02713371190722565,0.08387096774193548,0.06288254416005783,0.05
nsynth,primary,VAE,0.5497169863164257,0.050105727884479236,0.07385213947874536,0.023265561268496632,0.5250460602239235,0.03282691793591632,0.09032258064516129,0.06993381738283484,0.05
nsynth,primary,KNN,0.5470352255866351,0.04711517433431115,0.0600379268655016,0.011113329079376138,0.49296442733475443,0.01644628423652912,0.025806451612903226,0.035336939193881686,0.05
nsynth,primary,CBLOF,0.5427707863933616,0.05580541367881794,0.07196524766598417,0.018664100522337888,0.5229867271354735,0.02768570358512262,0.07096774193548387,0.05300540879082252,0.05
nsynth,primary,COPOD,0.5421553003242293,0.050668357047655085,0.07365863278150239,0.017225753975843135,0.5260120956895729,0.022720530394513286,0.07096774193548387,0.04205937035614612,0.05
nsynth,primary,KDE,0.5394185854811233,0.04640450086308065,0.061003469288741695,0.01252514167725064,0.4964872752304458,0.012624008713021963,0.04516129032258064,0.02885249003225535,0.05
nsynth,primary,GMM,0.5389349892839479,0.04004049240651979,0.056493332031225654,0.008877148560441247,0.49115383391710027,0.010870782749155905,0.025806451612903226,0.014426245016127675,0.05
nsynth,primary,ECOD,0.536791778864648,0.03969893665911595,0.06658176593469975,0.013546582003773212,0.5175896547435522,0.019628159345637334,0.07096774193548387,0.026989033114002435,0.05
nsynth,primary,AutoEncoder,0.5330439083365389,0.05309755325820607,0.05982264058595217,0.011414934737333814,0.49856396224941646,0.014463147400527586,0.058064516129032254,0.035336939193881686,0.05
nsynth,primary,DIF,0.5287904599659284,0.0469415514039933,0.06251742078658927,0.013527269731329993,0.5137949286030375,0.025037070477329688,0.08387096774193548,0.06288254416005783,0.05
nsynth,primary,ABOD,0.5196021322195967,0.04680045998895474,0.06493332306082802,0.018124536765553128,0.5163575256765863,0.026011836437391602,0.08387096774193548,0.06288254416005783,0.05
nsynth,primary,MCD,0.5082156399406496,0.05158779153619119,0.05647196158254562,0.012596506692651437,0.5076921297032767,0.02736022028761624,0.08387096774193548,0.0742636415046538,0.05
nsynth,primary,QMCD,0.4189152058031544,0.0555100336559902,0.11368522610601564,0.04285721982415412,0.534405613418059,0.02700841318772924,0.12903225806451613,0.060349312689902276,0.05
nsynth,secondary,SOD,0.9708523382975216,0.014026524742560944,0.7671035345601359,0.038668433770630076,0.9040501181513436,0.021924720370008068,0.7161290322580645,0.05300540879082256,0.05
