dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
physionet,primary,SOD,0.6273148148148148,0.08453227036173985,0.2161707726995262,0.12897601262691502,0.5224171539961013,0.07816284080090369,0.1851851851851852,0.12830005981991682
physionet,primary,KDE,0.5694444444444445,0.08137751152939031,0.16842218703183778,0.04421350354328049,0.5321637426900585,0.026356368972689975,0.1851851851851852,0.06415002990995841
physionet,primary,DIF,0.5555555555555555,0.06981843737531561,0.147768301871822,0.018629609292840296,0.5199805068226121,0.011166120114414865,0.14814814814814814,0.06415002990995841
physionet,primary,ABOD,0.5518518518518518,0.08017550835459474,0.162189931860817,0.05665492169914357,0.5199805068226121,0.04026001862051245,0.14814814814814814,0.12830005981991682
physionet,primary,QMCD,0.5430555555555555,0.09505521462371481,0.14978506636856437,0.05129915481353536,0.5102339181286549,0.04070003189203233,0.1111111111111111,0.1111111111111111
physionet,primary,LOF,0.5398148148148149,0.06905911614431322,0.1282558852790752,0.026248250594934366,0.48586744639376217,0.02110198352301265,0.037037037037037035,0.06415002990995841
physionet,primary,HBOS,0.5388888888888889,0.09030982337227154,0.14700846405588064,0.04203559267548393,0.5126705653021442,0.040260018620512414,0.14814814814814814,0.12830005981991682
physionet,primary,IForest,0.5254629629629629,0.0802957175905072,0.1426907190788399,0.04894279253830568,0.5102339181286549,0.04565057016373097,0.1111111111111111,0.1111111111111111
physionet,primary,ECOD,0.524537037037037,0.09471298966626825,0.1379029402985885,0.0317914995178425,0.5053606237816765,0.03296235199431939,0.1111111111111111,0.1111111111111111
physionet,primary,LODA,0.5217592592592593,0.02426915263348366,0.1155572416725044,0.003491240658777029,0.47368421052631576,0.0,0.0,0.0
physionet,primary,COF,0.5208333333333334,0.11121522899537564,0.14741590176072206,0.055495127319543716,0.5126705653021443,0.03679256547402902,0.1851851851851852,0.16972502573910517
physionet,primary,MCD,0.5032407407407408,0.09554438457527649,0.12379353750692546,0.03938327102215722,0.49561403508771934,0.021929824561403535,0.1111111111111111,0.1111111111111111
physionet,primary,LUNAR,0.5023148148148148,0.07360237544252157,0.12149033360546142,0.029980330778226615,0.4834307992202729,0.016881586818410125,0.07407407407407407,0.12830005981991682
physionet,primary,INNE,0.5011574074074074,0.029530904680956184,0.10156241439563757,0.005374485982964396,0.5000205191340926,0.00172369886461662,0.18308828907907249,0.01076462400274369
physionet,primary,AutoEncoder,0.4976851851851852,0.08532722658511656,0.11824489877140754,0.02581813933568785,0.48586744639376217,0.011166120114414826,0.07407407407407407,0.06415002990995841
physionet,primary,COPOD,0.49583333333333335,0.0986306709865611,0.12196475895674026,0.032528160681420844,0.49561403508771934,0.021929824561403535,0.07407407407407407,0.06415002990995841
physionet,primary,PCA,0.49166666666666653,0.08364524958285303,0.11472236689521059,0.022827697395462566,0.47368421052631576,0.0,0.07407407407407407,0.06415002990995841
physionet,primary,OCSVM,0.4907407407407407,0.08432664175862846,0.11447074306795274,0.02354730565217481,0.47368421052631576,0.0,0.037037037037037035,0.06415002990995841
physionet,primary,VAE,0.4907407407407407,0.08478291693563764,0.11396335715570034,0.02308506749150116,0.47368421052631576,0.0,0.037037037037037035,0.06415002990995841
physionet,primary,Sampling,0.4893518518518518,0.08830464826581781,0.1116751742682461,0.021276931319444678,0.47368421052631576,0.0,0.037037037037037035,0.06415002990995841
physionet,primary,CBLOF,0.48657407407407405,0.08381036305095274,0.11318841872763673,0.022853625276586555,0.47368421052631576,0.0,0.037037037037037035,0.06415002990995841
physionet,primary,KPCA,0.4851851851851852,0.09131174273958373,0.11612879340328337,0.02992539851709175,0.4834307992202729,0.016881586818410125,0.037037037037037035,0.06415002990995841
physionet,primary,KNN,0.4842592592592592,0.09029202166833311,0.11400682114076734,0.02533940271222104,0.47855750487329435,0.00844079340920509,0.07407407407407407,0.06415002990995841
physionet,primary,GMM,0.4523148148148148,0.10826505445646303,0.13572787021732058,0.081854173970689,0.49561403508771934,0.03798357034142275,0.07407407407407407,0.12830005981991682
physionet,secondary,SOD,0.5861111111111111,0.12285976397884814,0.18877779921180157,0.11079612956582569,0.5272904483430799,0.08659530040895161,0.1851851851851852,0.23129622216290363
physionet,secondary,HBOS,0.5509259259259259,0.0943456727522688,0.14931812014216034,0.051683784165331,0.5077972709551657,0.052881419137940276,0.14814814814814814,0.1697250257391052
physionet,secondary,QMCD,0.5453703703703704,0.09692746322674509,0.1444883677992125,0.04022609253754506,0.5077972709551656,0.03679256547402899,0.1111111111111111,0.1111111111111111
physionet,secondary,ABOD,0.5398148148148149,0.054598233288168735,0.18840587780552265,0.07664057610976592,0.5516569200779727,0.06909087172883932,0.1851851851851852,0.16972502573910517
physionet,secondary,LOF,0.536574074074074,0.07382481209362088,0.1279907771266724,0.028623251915832666,0.48586744639376217,0.02110198352301265,0.037037037037037035,0.06415002990995841
physionet,secondary,COPOD,0.5263888888888889,0.09459750668809902,0.13016854149030818,0.03844443236590347,0.4980506822612086,0.030433713442487336,0.1111111111111111,0.1111111111111111
physionet,secondary,DIF,0.5254629629629629,0.051150598675440424,0.13421238857245865,0.020138467456829696,0.49074074074074076,0.029542776932217723,0.07407407407407407,0.12830005981991682
physionet,secondary,ECOD,0.5254629629629629,0.09062256098605238,0.13866883028847388,0.03423325336737974,0.5077972709551656,0.03679256547402899,0.1111111111111111,0.1111111111111111
physionet,secondary,IForest,0.5254629629629629,0.07330035734449926,0.15809744865878403,0.06810637438426768,0.5272904483430799,0.05134334187550067,0.14814814814814814,0.12830005981991682
physionet,secondary,COF,0.512037037037037,0.11458403479022097,0.1433611408960412,0.053063331825434566,0.5053606237816765,0.02954277693221768,0.1851851851851852,0.16972502573910517
physionet,secondary,MCD,0.5055555555555555,0.09649529829267643,0.12686881064804623,0.04322168899780503,0.5004873294346979,0.029542776932217706,0.14814814814814814,0.16972502573910517
physionet,secondary,INNE,0.49745370370370373,0.01996250987254671,0.10096185231665594,0.0035452470572839008,0.4997786272640073,0.0011982644680495437,0.18105400286255455,0.00785873605581422
physionet,secondary,CBLOF,0.4949074074074074,0.08634972912617972,0.11571626424036303,0.022730231421992517,0.47368421052631576,0.0,0.0,0.0
physionet,secondary,OCSVM,0.49490740740740735,0.08523674969132966,0.11607832588989225,0.02438889843713473,0.47855750487329435,0.00844079340920509,0.037037037037037035,0.06415002990995841
physionet,secondary,PCA,0.49490740740740735,0.08381036305095277,0.11614091421285931,0.022708260749210337,0.47368421052631576,0.0,0.07407407407407407,0.06415002990995841
physionet,secondary,LUNAR,0.4916666666666667,0.06329738258392133,0.11961804320645597,0.02769383784001845,0.4907407407407407,0.018396282737014505,0.07407407407407407,0.06415002990995841
physionet,secondary,VAE,0.49166666666666664,0.08426561840065282,0.11487105771343313,0.024069365695125758,0.47855750487329435,0.00844079340920509,0.037037037037037035,0.06415002990995841
physionet,secondary,AutoEncoder,0.49074074074074076,0.08087023467238785,0.11784999510187522,0.02739299941747656,0.48586744639376217,0.011166120114414835,0.07407407407407407,0.06415002990995841
physionet,secondary,KNN,0.4847222222222222,0.09141379262169078,0.11528147516732723,0.0271938335973328,0.4809941520467836,0.012661190113807614,0.07407407407407407,0.06415002990995841
physionet,secondary,KPCA,0.48425925925925933,0.08687312185257028,0.1159528397562874,0.029197350284257188,0.4834307992202729,0.016881586818410125,0.037037037037037035,0.06415002990995841
physionet,secondary,Sampling,0.48009259259259257,0.08682870061810677,0.11588615174228885,0.025383034628686355,0.4883040935672514,0.014619883040935686,0.07407407407407407,0.06415002990995841
physionet,secondary,LODA,0.45462962962962966,0.04934629250878063,0.11594776003078655,0.020370244049956188,0.49561403508771934,0.021929824561403535,0.07407407407407407,0.06415002990995841
physionet,secondary,GMM,0.449537037037037,0.10745130009918036,0.13502945293145072,0.0820014975770004,0.49561403508771934,0.03798357034142275,0.07407407407407407,0.12830005981991682
physionet,secondary,KDE,0.3972222222222222,0.05283257389336173,0.10579430362974585,0.016036302923849777,0.49317738791423,0.01839628273701449,0.07407407407407407,0.06415002990995841
