dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
physionet,primary,QMCD,0.6547222222222222,0.13200510301583887,0.262427126671246,0.12883318495404578,0.5380116959064327,0.05834230976384481,0.17777777777777776,0.12668615834434865
physionet,primary,SOD,0.5633333333333332,0.06414201065498489,0.18614317585580273,0.0733240360179265,0.5394736842105263,0.050907851890292864,0.17777777777777776,0.09938079899999064
physionet,primary,MCD,0.5566666666666666,0.1160798735226613,0.20300239802290304,0.11626472250336406,0.5321637426900585,0.06094054093762083,0.17777777777777776,0.09938079899999064
physionet,primary,DIF,0.5366666666666666,0.03392984774356104,0.14650595195893568,0.04026358969570312,0.5175438596491228,0.033097167902549025,0.2,0.09296222517045283
physionet,primary,LODA,0.5188888888888888,0.10234801288125109,0.15510819888020352,0.0432632747207179,0.5160818713450293,0.023911443324263388,0.15555555555555553,0.09938079899999064
physionet,primary,INNE,0.49250000000000005,0.023962861890851048,0.10274294670846396,0.0006438744798258162,0.49032327321801006,0.009302486664754282,0.14922680412371134,0.08342591816301016
physionet,primary,COF,0.4416666666666667,0.04057600321664317,0.09751714308916408,0.009405126310188593,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,primary,GMM,0.38805555555555554,0.0771839933351501,0.08872793737985545,0.011743814055721218,0.47368421052631576,0.0,0.0,0.0
physionet,primary,LMDD,0.3844444444444444,0.05237787088098071,0.122735535275636,0.04314321940896636,0.4956140350877193,0.024244333262831888,0.06666666666666667,0.06085806194501846
physionet,primary,IForest,0.3433333333333334,0.12999065137326007,0.08650571647005241,0.015647068497428307,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,primary,ABOD,0.34305555555555556,0.09239504389198842,0.09554983736929491,0.019011051195792626,0.49415204678362573,0.013076420921051398,0.11111111111111112,0.07856742013183862
physionet,primary,HBOS,0.3061111111111111,0.062125420732857574,0.08322890358581991,0.012711376465313241,0.48245614035087725,0.015847575576519595,0.04444444444444444,0.06085806194501846
physionet,primary,ECOD,0.2875,0.07749825764668263,0.08210788059029836,0.01408879802160794,0.48245614035087725,0.019614631381577142,0.02222222222222222,0.049690399499995326
physionet,primary,COPOD,0.28527777777777774,0.07439701017821072,0.09633873089207408,0.046817345703069384,0.48538011695906425,0.02615284184210283,0.02222222222222222,0.049690399499995326
physionet,primary,KDE,0.28027777777777774,0.10839296791686794,0.08194239982078852,0.016277632717861507,0.47953216374269003,0.013076420921051398,0.02222222222222222,0.049690399499995326
physionet,primary,LOF,0.2786111111111111,0.09283036600085047,0.08551571564144544,0.012825492703992232,0.4926900584795321,0.011086075210601678,0.08888888888888888,0.04969039949999532
physionet,primary,AutoEncoder,0.27305555555555555,0.07913376509289682,0.07519836765049222,0.008548584525195179,0.47368421052631576,0.0,0.0,0.0
physionet,primary,Sampling,0.27222222222222225,0.0970136651950018,0.07720681543302396,0.010052857239870972,0.47368421052631576,0.0,0.0,0.0
physionet,primary,KPCA,0.27083333333333337,0.10400450340439622,0.07954549916080378,0.014165304490586478,0.47953216374269003,0.013076420921051398,0.02222222222222222,0.049690399499995326
physionet,primary,VAE,0.27027777777777773,0.0916803440974518,0.07713781723532367,0.00998792437289734,0.47368421052631576,0.0,0.0,0.0
physionet,primary,PCA,0.26916666666666667,0.0960012618872826,0.07752667089417756,0.010631092757722239,0.47514619883040937,0.003269105230262865,0.02222222222222222,0.049690399499995326
physionet,primary,OCSVM,0.2663888888888889,0.09922247884749695,0.0798158333309809,0.014879473233808404,0.48099415204678364,0.016345526151314238,0.02222222222222222,0.049690399499995326
physionet,primary,LUNAR,0.2658333333333333,0.09945162140458044,0.07819892314842089,0.012496735801330984,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,primary,CBLOF,0.26555555555555554,0.0975114744751662,0.07730061226312074,0.010923582759070507,0.47514619883040937,0.003269105230262865,0.02222222222222222,0.049690399499995326
physionet,primary,KNN,0.2597222222222222,0.09760341935165899,0.07656837248880595,0.010704494623268244,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,secondary,QMCD,0.6430555555555555,0.12719902141676534,0.2384498056078903,0.09236933095814474,0.5380116959064327,0.06360069220513515,0.17777777777777776,0.12668615834434865
physionet,secondary,SOD,0.5694444444444444,0.06251543019403832,0.17937067506692111,0.05663169940725787,0.5365497076023392,0.03854218224112299,0.15555555555555553,0.09938079899999065
physionet,secondary,LODA,0.5627777777777777,0.1190699879778151,0.1622235351965831,0.04103014138033882,0.5146198830409358,0.023460243473510577,0.11111111111111112,0.07856742013183861
physionet,secondary,MCD,0.5427777777777777,0.1224248635785322,0.1903793077048999,0.11501730122378491,0.5248538011695907,0.06072093467045377,0.13333333333333333,0.14487116456005886
physionet,secondary,DIF,0.5261111111111111,0.07981218307940982,0.15427969834807795,0.0353577277135696,0.5292397660818713,0.027642792984194513,0.2,0.09296222517045283
physionet,secondary,INNE,0.515,0.005590169943749523,0.10393489830137785,0.0010652134038428638,0.5008167493177487,0.0003100539963024905,0.18829761258817146,0.0017494147613581353
physionet,secondary,COF,0.4538888888888889,0.0415786106573744,0.09950907654879713,0.009237154470274974,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,secondary,LMDD,0.39625,0.059026960778659716,0.12188895239025846,0.04446067569916469,0.4956140350877193,0.024244333262831888,0.06666666666666667,0.06085806194501846
physionet,secondary,GMM,0.3813888888888889,0.0654518954445473,0.08739390764012314,0.010289937600926256,0.47368421052631576,0.0,0.0,0.0
physionet,secondary,ABOD,0.35805555555555557,0.06047969254118726,0.11887819834455268,0.038723810562399784,0.5058479532163742,0.016828749171376226,0.13333333333333333,0.049690399499995326
physionet,secondary,HBOS,0.29944444444444446,0.06360595563775923,0.08416239094016922,0.01315050782520348,0.48684210526315785,0.018201607599398727,0.04444444444444444,0.06085806194501846
physionet,secondary,IForest,0.29333333333333333,0.07504114097950652,0.07871040403143037,0.009211305084821262,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,secondary,COPOD,0.29277777777777775,0.07829318316982777,0.09720522209053942,0.04636798681183153,0.48538011695906425,0.02615284184210283,0.02222222222222222,0.049690399499995326
physionet,secondary,ECOD,0.29,0.07652387064032878,0.08232958179586584,0.014042851315196773,0.48245614035087725,0.019614631381577142,0.02222222222222222,0.049690399499995326
physionet,secondary,KDE,0.28277777777777774,0.10507290972474632,0.08081535335964189,0.01435121103074002,0.4780701754385965,0.00980731569078856,0.02222222222222222,0.049690399499995326
physionet,secondary,AutoEncoder,0.2777777777777778,0.08983867571553462,0.07595823164923514,0.00954217277902654,0.47368421052631576,0.0,0.0,0.0
physionet,secondary,Sampling,0.2702777777777778,0.0984672267969725,0.07667389185399134,0.010700813869396286,0.47368421052631576,0.0,0.0,0.0
physionet,secondary,CBLOF,0.2694444444444445,0.10138413230851569,0.0774521211112809,0.011374949814389137,0.47514619883040937,0.003269105230262865,0.02222222222222222,0.049690399499995326
physionet,secondary,KPCA,0.26888888888888884,0.10010411246963502,0.07788260598793469,0.012295353596905352,0.4780701754385965,0.00980731569078856,0.02222222222222222,0.049690399499995326
physionet,secondary,PCA,0.2686111111111111,0.09684749211205763,0.07710687584396633,0.010621638796717013,0.47514619883040937,0.003269105230262865,0.02222222222222222,0.049690399499995326
physionet,secondary,LUNAR,0.26805555555555555,0.09722718241315029,0.07879368196505424,0.013485132551856106,0.47953216374269003,0.013076420921051398,0.02222222222222222,0.049690399499995326
physionet,secondary,KNN,0.26694444444444443,0.09653227407593588,0.07770318697933168,0.011367754645122576,0.47660818713450287,0.0065382104605257165,0.02222222222222222,0.049690399499995326
physionet,secondary,OCSVM,0.2644444444444444,0.09792208416849203,0.07840582968929234,0.01299277661996541,0.47953216374269003,0.013076420921051398,0.02222222222222222,0.049690399499995326
physionet,secondary,LOF,0.2619444444444444,0.08782786897051091,0.07594165684662213,0.010281684754345589,0.47368421052631576,0.0,0.02222222222222222,0.049690399499995326
physionet,secondary,VAE,0.2536111111111111,0.09232507651275694,0.07335490341803333,0.009866851506474305,0.47368421052631576,0.0,0.0,0.0
