dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
ravdess,primary,GMM,0.8833333333333334,0.08819171036881965,0.6996081937386286,0.16818939072340688,0.793859649122807,0.11428784404206471,0.6,0.2
ravdess,primary,MCD,0.8763888888888888,0.13191520143778113,0.6858056758056758,0.16562128650621802,0.7807017543859649,0.09437471399714917,0.6,0.19999999999999998
ravdess,primary,SOD,0.8541666666666666,0.05416666666666663,0.5127372237898554,0.08454301853482969,0.6608187134502924,0.022075539284417404,0.4000000000000001,0.0
ravdess,primary,DIF,0.8305555555555556,0.10658308357194261,0.44284143960614547,0.07263890508772448,0.6315789473684211,0.048840038270438806,0.3333333333333333,0.11547005383792514
ravdess,primary,LUNAR,0.8166666666666665,0.1089724735885168,0.45421464231809056,0.06365724958339364,0.5994152046783626,0.0354513323186612,0.26666666666666666,0.11547005383792516
ravdess,primary,LOF,0.8152777777777779,0.09703354708171434,0.45604070105947453,0.05054358015613623,0.6301169590643275,0.031116661774550795,0.3333333333333333,0.11547005383792516
ravdess,primary,INNE,0.8055555555555557,0.08961562725411316,0.417544979175414,0.016124961119901388,0.652046783625731,0.06774624119355359,0.39999999999999997,0.2
ravdess,primary,KPCA,0.8013888888888888,0.0918873605945727,0.4396696325681833,0.06035883012085925,0.6125730994152047,0.031116661774550823,0.3333333333333333,0.11547005383792516
ravdess,primary,KNN,0.798611111111111,0.08959140790483407,0.42720311936265515,0.053936994948154064,0.597953216374269,0.01977741119659166,0.26666666666666666,0.11547005383792516
ravdess,primary,COPOD,0.7833333333333332,0.07716774657271719,0.4200539881574364,0.039505879920413906,0.6403508771929824,0.021929824561403466,0.4000000000000001,0.0
ravdess,primary,CBLOF,0.7791666666666667,0.06959705453537525,0.42145243501832647,0.04491647849790114,0.6169590643274855,0.019777411196591568,0.3333333333333333,0.11547005383792516
ravdess,primary,ABOD,0.7736111111111111,0.1620363756600259,0.4758736162956112,0.13961013131601904,0.6461988304093568,0.05287468222229561,0.3333333333333333,0.11547005383792516
ravdess,primary,AutoEncoder,0.7736111111111111,0.07457440977032663,0.3816124446832216,0.016709157473202136,0.5964912280701755,0.0,0.26666666666666666,0.11547005383792516
ravdess,primary,IForest,0.7722222222222223,0.104194440741728,0.39167596859532344,0.04011226675852166,0.6096491228070176,0.04319674474471976,0.3333333333333333,0.11547005383792516
ravdess,primary,Sampling,0.7694444444444445,0.06142595663193328,0.35627977141363304,0.06986640579474403,0.5701754385964913,0.031627642767227994,0.20000000000000004,0.0
ravdess,primary,LODA,0.7611111111111111,0.13497256236951494,0.4899623524623524,0.2041668625300039,0.6695906432748538,0.10826613205598605,0.39999999999999997,0.19999999999999996
ravdess,primary,QMCD,0.7611111111111111,0.07025911038856524,0.37832494633469144,0.08452383323138216,0.6052631578947368,0.08639348948943949,0.3333333333333333,0.23094010767585033
ravdess,primary,HBOS,0.7555555555555555,0.0827409500478138,0.36072556875901446,0.062350716975306135,0.584795321637427,0.05287468222229567,0.26666666666666666,0.11547005383792518
ravdess,primary,OCSVM,0.7555555555555555,0.08959140790483411,0.3720961696599942,0.00884102576798653,0.5964912280701755,0.0,0.26666666666666666,0.11547005383792516
ravdess,primary,PCA,0.7555555555555555,0.09093775852706025,0.3693646412724374,0.010719375120816428,0.584795321637427,0.010128952091046082,0.26666666666666666,0.11547005383792516
ravdess,primary,VAE,0.751388888888889,0.08997813520414187,0.36562854535773875,0.005032544504051946,0.584795321637427,0.010128952091046082,0.26666666666666666,0.11547005383792516
ravdess,primary,KDE,0.7486111111111112,0.09375771573187595,0.2685448029383956,0.050217252029810255,0.5219298245614036,0.05317699847799185,0.13333333333333333,0.11547005383792516
ravdess,primary,ECOD,0.7430555555555555,0.08274095004781376,0.36187605497950326,0.06387945892113753,0.6023391812865498,0.05287468222229567,0.26666666666666666,0.11547005383792518
ravdess,primary,COF,0.7013888888888888,0.0687605210804808,0.21801758736779256,0.04944284242731572,0.5292397660818713,0.048112522432468795,0.13333333333333333,0.11547005383792516
ravdess,secondary,MCD,0.876388888888889,0.12530056456968366,0.711839673329035,0.16056713826638774,0.7953216374269005,0.09622504486493756,0.5333333333333333,0.11547005383792512
ravdess,secondary,SOD,0.8555555555555556,0.06696979695133998,0.47202223702223706,0.06206103138867096,0.6461988304093568,0.05287468222229563,0.3333333333333333,0.11547005383792514
