dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
ravdess,primary,CBLOF,0.9991666666666668,0.0018633899812498039,0.9933333333333334,0.014907119849998662,0.9956140350877194,0.009807315690788517,0.96,0.08944271909999157
ravdess,primary,OCSVM,0.9966666666666667,0.007453559924999287,0.9822222222222223,0.03975231959999632,0.9824561403508772,0.03922926276315424,0.96,0.08944271909999157
ravdess,primary,AutoEncoder,0.9958333333333333,0.009316949906249082,0.9800000000000001,0.04472135954999582,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,INNE,0.9949999999999999,0.009033118078616136,0.9733333333333333,0.04346134936801764,0.974561403508772,0.045622468855950296,0.9199999999999999,0.1095445115010332
ravdess,primary,VAE,0.9875,0.02124591463996998,0.9386666666666666,0.08318653737234166,0.9570175438596491,0.062057916336224525,0.8400000000000001,0.16733200530681513
ravdess,primary,PCA,0.9866666666666667,0.021122986426060954,0.9286666666666668,0.08786353054595515,0.9526315789473685,0.06290458461160446,0.8400000000000001,0.16733200530681513
ravdess,primary,KNN,0.9858333333333335,0.031677629681247016,0.9690909090909091,0.06911482839544802,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,KPCA,0.9858333333333335,0.031677629681247016,0.9690909090909091,0.06911482839544802,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,KDE,0.985,0.03126388580384011,0.9624242424242425,0.06696215506689535,0.974561403508772,0.04562246885595029,0.9199999999999999,0.10954451150103317
ravdess,primary,LOF,0.985,0.03354101966249685,0.9686956521739131,0.0699986497304282,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,LUNAR,0.9841666666666666,0.03540440964374666,0.9683333333333334,0.07080881928749337,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,SOD,0.9833333333333334,0.013819269959814112,0.8658095238095237,0.1052679337143117,0.9131578947368422,0.0710878188807948,0.72,0.10954451150103325
ravdess,primary,IForest,0.9766666666666666,0.03881938232950703,0.9194893029675638,0.10554629511926207,0.9350877192982455,0.08030029818488285,0.8400000000000001,0.16733200530681513
ravdess,primary,Sampling,0.9766666666666666,0.0521749194749951,0.9660606060606061,0.07589079196362923,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,COF,0.9716666666666667,0.03834691788281177,0.9101010101010101,0.11768218654883675,0.9324561403508772,0.0909281507202987,0.8400000000000001,0.16733200530681513
ravdess,primary,MCD,0.9708333333333334,0.06521864934374381,0.9650000000000001,0.07826237921249264,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,primary,GMM,0.9666666666666666,0.0507752400289748,0.9137394957983194,0.08945776798787203,0.9315789473684211,0.0729047114589214,0.8400000000000001,0.16733200530681513
ravdess,primary,DIF,0.9558333333333333,0.031814348614701754,0.8073824508824508,0.12440396410083707,0.8429824561403508,0.10353107104435491,0.68,0.1788854381999832
ravdess,primary,HBOS,0.9541666666666666,0.029017475577466933,0.7503066378066378,0.11529281558819554,0.8026315789473685,0.07894736842105259,0.52,0.1095445115010332
ravdess,primary,LMDD,0.9408333333333333,0.06252777160768026,0.8068616634937389,0.14460246057280188,0.8508771929824561,0.10337301534554982,0.68,0.17888543819998315
ravdess,primary,LODA,0.9408333333333333,0.08124465794404234,0.8027168766193157,0.20611970701003943,0.8719298245614036,0.10927127881121303,0.72,0.1788854381999832
ravdess,primary,COPOD,0.9233333333333335,0.0637785883610897,0.6967088380029557,0.1292593146295037,0.7745614035087719,0.09050404322772732,0.52,0.1095445115010332
ravdess,primary,ECOD,0.9208333333333334,0.039856513478560465,0.6848506493506493,0.10403870602313316,0.75,0.07153292293991269,0.48,0.1095445115010332
ravdess,primary,ABOD,0.8966666666666667,0.0664318782245726,0.7023131313131312,0.07173943164084937,0.7903508771929825,0.05052433597485683,0.5599999999999999,0.08944271909999155
ravdess,primary,QMCD,0.5233333333333333,0.12263739460521639,0.42054262607001114,0.140911422742668,0.6491228070175439,0.08859214858212347,0.32,0.17888543819998315
ravdess,secondary,QMCD,0.9824999999999999,0.039131189606246286,0.9444444444444444,0.12422599874998838,0.9578947368421054,0.09415023063157008,0.9199999999999999,0.17888543819998315
ravdess,secondary,SOD,0.9824999999999999,0.010785149254620577,0.8668888888888888,0.0627034958759216,0.9087719298245615,0.05559978233437097,0.76,0.08944271909999163
ravdess,secondary,CBLOF,0.9758333333333333,0.04054746875234291,0.9243589743589744,0.09316619121090482,0.9438596491228071,0.06151306016816826,0.8400000000000001,0.16733200530681513
ravdess,secondary,MCD,0.9716666666666667,0.063355259362494,0.9651282051282051,0.07797570383076192,0.9789473684210528,0.047075115315785,0.96,0.08944271909999157
ravdess,secondary,INNE,0.9641666666666667,0.03981293061863742,0.8339047619047619,0.10872203943732124,0.8833333333333334,0.07781843900426981,0.76,0.08944271909999166
ravdess,secondary,LOF,0.9625,0.06059599821770408,0.8617575757575757,0.1286929243609379,0.9096491228070176,0.08019242401368427,0.76,0.08944271909999166
ravdess,secondary,KNN,0.9616666666666667,0.06497862896539315,0.8616666666666667,0.16927541660461706,0.8973684210526315,0.12251688786299766,0.72,0.17888543819998315
ravdess,secondary,LUNAR,0.9483333333333335,0.06728876412728792,0.7890877192982455,0.15176661086464513,0.8456140350877194,0.10226919076991142,0.64,0.16733200530681513
ravdess,secondary,HBOS,0.9475,0.04088856808449028,0.767790346907994,0.15810770590381154,0.8043859649122806,0.12168978011900136,0.6,0.2449489742783178
ravdess,secondary,AutoEncoder,0.9458333333333332,0.05488308280133122,0.8353333333333334,0.1126344749324586,0.8842105263157896,0.07356140560081334,0.72,0.10954451150103328
ravdess,secondary,KPCA,0.9400000000000001,0.07787320534761051,0.8039631185807657,0.16386262357370865,0.8596491228070174,0.10392978606204199,0.68,0.17888543819998312
ravdess,secondary,OCSVM,0.9375,0.05488308280133121,0.8057843915343914,0.10735467699981843,0.8473684210526315,0.07768236023724,0.72,0.10954451150103328
ravdess,secondary,DIF,0.9241666666666667,0.04835847047484726,0.7146231264435599,0.15787871527314873,0.7956140350877192,0.1032613009591549,0.6,0.14142135623730953
ravdess,secondary,Sampling,0.9166666666666666,0.09619496983845999,0.7502492595124174,0.15315427524584982,0.8087719298245615,0.08731265394156498,0.64,0.16733200530681513
ravdess,secondary,COF,0.9141666666666666,0.09540665886381074,0.823706467445598,0.11950163731483354,0.8771929824561404,0.08532928271203388,0.72,0.10954451150103325
ravdess,secondary,KDE,0.9125,0.13581671677505516,0.7836317717370348,0.16864138936905215,0.8464912280701755,0.10158977913947784,0.64,0.16733200530681508
ravdess,secondary,COPOD,0.9116666666666667,0.07617140758403598,0.6667321697909933,0.12715994982153042,0.7535087719298246,0.06640066971149314,0.5599999999999999,0.08944271909999155
ravdess,secondary,IForest,0.9091666666666667,0.07724644903740821,0.7304697802197803,0.1662187043456953,0.8035087719298246,0.11447284398427952,0.6,0.19999999999999998
ravdess,secondary,VAE,0.9033333333333333,0.06491179913287463,0.6961203371791607,0.12790060386968513,0.7719298245614035,0.07973534632762212,0.5599999999999999,0.1673320053068151
ravdess,secondary,PCA,0.8991666666666667,0.06403666484479373,0.6911037851037851,0.12504534238550566,0.7719298245614035,0.07973534632762212,0.5599999999999999,0.1673320053068151
ravdess,secondary,ECOD,0.8825,0.047907607839349414,0.5914190809190809,0.11989907404351997,0.7087719298245614,0.06597925842505895,0.48,0.1095445115010332
ravdess,secondary,LODA,0.8741666666666668,0.06012140495142578,0.6886975374767366,0.058784553551471885,0.7921052631578948,0.026425211107705376,0.6,0.0
ravdess,secondary,LMDD,0.8645833333333334,0.0747391296443838,0.5313384037346301,0.1723716398846888,0.6973684210526316,0.08333333333333333,0.48,0.1095445115010332
ravdess,secondary,GMM,0.8033333333333333,0.06688765456594614,0.4818670188387227,0.07786032563079315,0.6456140350877193,0.04593761744833741,0.36,0.08944271909999157
ravdess,secondary,ABOD,0.7141666666666666,0.0791995545722604,0.2755215254354734,0.15847761189755638,0.5385964912280702,0.08450241809678803,0.2,0.14142135623730953
