dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
ravdess,primary,HBOS,0.9805555555555556,0.023692669596155465,0.9291666666666667,0.06884463184107625,0.9429824561403509,0.053176998477991816,0.8666666666666667,0.11547005383792512
ravdess,primary,COPOD,0.9777777777777779,0.028361913689808442,0.9268518518518519,0.07224002629551672,0.9429824561403509,0.053176998477991816,0.8666666666666667,0.11547005383792512
ravdess,primary,ECOD,0.975,0.0330718913883074,0.9250000000000002,0.07499999999999996,0.9429824561403509,0.053176998477991816,0.8666666666666667,0.11547005383792512
ravdess,primary,IForest,0.975,0.03004626062886661,0.9212475633528264,0.07420528033046479,0.935672514619883,0.05639561848533887,0.8666666666666667,0.11547005383792512
ravdess,primary,LODA,0.975,0.04330127018922192,0.9478260869565217,0.0903678682209849,0.9649122807017544,0.06077371254627634,0.9333333333333332,0.11547005383792512
ravdess,primary,PCA,0.975,0.0330718913883074,0.9250000000000002,0.07499999999999996,0.9429824561403509,0.053176998477991816,0.8666666666666667,0.11547005383792512
ravdess,primary,VAE,0.975,0.0330718913883074,0.9250000000000002,0.07499999999999996,0.9429824561403509,0.053176998477991816,0.8666666666666667,0.11547005383792512
ravdess,primary,OCSVM,0.9430555555555555,0.05275949975895163,0.8640522875816993,0.12348790671128243,0.9005847953216376,0.09662404468922983,0.7999999999999999,0.20000000000000004
ravdess,primary,KDE,0.9263888888888889,0.0664492984105871,0.78135523155131,0.19120319927445573,0.8450292397660819,0.1359884906927893,0.7333333333333334,0.23094010767585033
ravdess,primary,INNE,0.9180555555555555,0.07099654399517812,0.8037518037518038,0.1795829064860249,0.8728070175438596,0.11776948756225919,0.7333333333333334,0.23094010767585033
ravdess,primary,Sampling,0.9166666666666666,0.07228896488707282,0.7689410444312405,0.2078865372462962,0.837719298245614,0.1443375672974065,0.6666666666666666,0.30550504633038933
ravdess,primary,KNN,0.9097222222222222,0.07843226613053059,0.8085434173669467,0.18229299121688666,0.8801169590643275,0.11640034677990081,0.7999999999999999,0.20000000000000004
ravdess,primary,LUNAR,0.9,0.08670271686118669,0.7669408831908832,0.2073503591823567,0.8450292397660819,0.1359884906927893,0.7333333333333334,0.23094010767585033
ravdess,primary,LOF,0.8875000000000001,0.10366546087187273,0.8018617243791185,0.17640094224136924,0.8728070175438596,0.1119065861594129,0.7333333333333334,0.23094010767585033
ravdess,primary,CBLOF,0.8583333333333334,0.15567951410224498,0.7606143481821412,0.22084539685028054,0.8450292397660819,0.1359884906927893,0.7333333333333334,0.23094010767585033
