dataset,detector,seconds,n_train,n_features
esc50,KNN,0.009623638004995883,320,74
esc50,LOF,0.004624461056664586,320,74
esc50,COF,0.043930414016358554,320,74
esc50,CBLOF,0.8158176850993186,320,74
esc50,ABOD,0.449696043971926,320,74
esc50,SOD,3.4640760590555146,320,74
esc50,KDE,0.017145463963970542,320,74
esc50,Sampling,0.0005059480899944901,320,74
esc50,PCA,0.005003383965231478,320,74
esc50,KPCA,0.17984055099077523,320,74
esc50,MCD,0.12257547094486654,320,74
esc50,OCSVM,0.008408189052715898,320,74
esc50,LMDD,0.7655233819968998,320,74
esc50,HBOS,1.232090286910534,320,74
esc50,COPOD,0.05175257404334843,320,74
esc50,ECOD,0.00512554298620671,320,74
esc50,QMCD,0.43531665299087763,320,74
esc50,GMM,0.01934854593127966,320,74
esc50,INNE,0.11849298805464059,320,74
esc50,IForest,0.05442320497240871,320,74
esc50,LODA,0.005153573933057487,320,74
esc50,AutoEncoder,1.6826699579833075,320,74
esc50,VAE,0.9456619060365483,320,74
esc50,DIF,0.6082391139352694,320,74
esc50,LUNAR,0.8355030009988695,320,74
urbansound8k,KNN,0.11382079392205924,5411,74
urbansound8k,LOF,0.12667516607325524,5411,74
urbansound8k,COF,5.903169865952805,5411,74
urbansound8k,CBLOF,0.03888407803606242,5411,74
urbansound8k,ABOD,0.32828206894919276,5411,74
urbansound8k,SOD,3.186552666942589,5411,74
urbansound8k,KDE,4.308454675017856,5411,74
urbansound8k,Sampling,0.0045494630467146635,5411,74
urbansound8k,PCA,0.02203559095505625,5411,74
urbansound8k,KPCA,30.043123673996888,5411,74
urbansound8k,MCD,12.914803410996683,5411,74
urbansound8k,OCSVM,1.2849605729570612,5411,74
urbansound8k,LMDD,143.42512039409485,5411,74
urbansound8k,HBOS,0.011104799923487008,5411,74
urbansound8k,COPOD,0.09923268191050738,5411,74
urbansound8k,ECOD,0.09429307200480253,5411,74
urbansound8k,QMCD,0.39661841304041445,5411,74
urbansound8k,GMM,0.12249197100754827,5411,74
urbansound8k,INNE,0.3676478450652212,5411,74
urbansound8k,IForest,0.08925077202729881,5411,74
urbansound8k,LODA,0.021860261098481715,5411,74
urbansound8k,AutoEncoder,4.584223304060288,5411,74
urbansound8k,VAE,16.32340375892818,5411,74
urbansound8k,DIF,6.641099162981845,5411,74
urbansound8k,LUNAR,3.6561763050267473,5411,74
ravdess,KNN,0.011024773004464805,240,74
ravdess,LOF,0.012123472057282925,240,74
ravdess,COF,0.05320597905665636,240,74
ravdess,CBLOF,0.005945490091107786,240,74
ravdess,ABOD,0.032049712957814336,240,74
ravdess,SOD,0.040350966970436275,240,74
ravdess,KDE,0.015203543938696384,240,74
ravdess,Sampling,0.000912240007892251,240,74
ravdess,PCA,0.006299836095422506,240,74
ravdess,KPCA,0.09221332101151347,240,74
ravdess,MCD,0.17033578304108232,240,74
ravdess,OCSVM,0.007026717998087406,240,74
ravdess,LMDD,0.9073145479196683,240,74
ravdess,HBOS,0.008749101893045008,240,74
ravdess,COPOD,0.009138295077718794,240,74
ravdess,ECOD,0.008870812016539276,240,74
ravdess,QMCD,0.0052278239745646715,240,74
ravdess,GMM,0.016090149991214275,240,74
ravdess,INNE,0.17028406506869942,240,74
ravdess,IForest,0.12862465996295214,240,74
ravdess,LODA,0.011415692046284676,240,74
ravdess,AutoEncoder,0.2549963849596679,240,74
ravdess,VAE,1.0249285589670762,240,74
ravdess,DIF,0.5188402089988813,240,74
ravdess,LUNAR,0.7176482540089637,240,74
nsynth,KNN,0.07272632699459791,4537,74
nsynth,LOF,0.09256619808729738,4537,74
nsynth,COF,4.13484073698055,4537,74
nsynth,CBLOF,0.030252152937464416,4537,74
nsynth,ABOD,0.2593511249870062,4537,74
nsynth,SOD,2.3313345620408654,4537,74
nsynth,KDE,3.279048801981844,4537,74
nsynth,Sampling,0.0038443109951913357,4537,74
nsynth,PCA,0.017177802976220846,4537,74
nsynth,KPCA,18.4255646179663,4537,74
nsynth,MCD,13.654922360903583,4537,74
nsynth,OCSVM,0.9067398100160062,4537,74
nsynth,LMDD,103.67059827805497,4537,74
nsynth,HBOS,0.010888423072174191,4537,74
nsynth,COPOD,0.0795879210345447,4537,74
nsynth,ECOD,0.0794456199510023,4537,74
nsynth,QMCD,0.256647081929259,4537,74
nsynth,GMM,0.09335181396454573,4537,74
nsynth,INNE,0.35728108102921396,4537,74
nsynth,IForest,0.09138616209384054,4537,74
nsynth,LODA,0.019874152960255742,4537,74
nsynth,AutoEncoder,3.337198914028704,4537,74
nsynth,VAE,9.8836973849684,4537,74
nsynth,DIF,5.978862560004927,4537,74
nsynth,LUNAR,2.9360542389331385,4537,74
mimii,KNN,0.062405430944636464,2713,74
mimii,LOF,0.0839631820563227,2713,74
mimii,COF,2.8701758079696447,2713,74
mimii,CBLOF,0.026043338933959603,2713,74
mimii,ABOD,0.20683644199743867,2713,74
mimii,SOD,1.2094090620521456,2713,74
mimii,KDE,1.0925102659966797,2713,74
mimii,Sampling,0.002874220022931695,2713,74
mimii,PCA,0.012864464079029858,2713,74
mimii,KPCA,4.191056875046343,2713,74
mimii,MCD,11.83300883101765,2713,74
mimii,OCSVM,0.39146656496450305,2713,74
mimii,LMDD,39.78790302295238,2713,74
mimii,HBOS,0.00821601995266974,2713,74
mimii,COPOD,0.04886433796491474,2713,74
mimii,ECOD,0.04911410599015653,2713,74
mimii,QMCD,0.07814359094481915,2713,74
mimii,GMM,0.11664999392814934,2713,74
mimii,INNE,0.2430479049216956,2713,74
mimii,IForest,0.07974464003928006,2713,74
mimii,LODA,0.014342683018185198,2713,74
mimii,AutoEncoder,1.4415321730775759,2713,74
mimii,VAE,6.070329008973204,2713,74
mimii,DIF,4.331951571977697,2713,74
mimii,LUNAR,2.320283434004523,2713,74
physionet,KNN,0.07663562207017094,2495,74
physionet,LOF,0.10427191900089383,2495,74
physionet,COF,1.4722443500068039,2495,74
physionet,CBLOF,0.031395624042488635,2495,74
physionet,ABOD,0.12303150608204305,2495,74
physionet,SOD,0.8635724369669333,2495,74
physionet,KDE,0.7242992520332336,2495,74
physionet,Sampling,0.001992141013033688,2495,74
physionet,PCA,0.009755448903888464,2495,74
physionet,KPCA,2.874246258987114,2495,74
physionet,MCD,7.6924112369306386,2495,74
