dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
urbansound8k,primary,GMM,0.9610500195899178,0.01209870386243763,0.8929890113385589,0.01935273476350316,0.9163696101950055,0.01151742272155884,0.8153846153846154,0.028781979898261107
urbansound8k,primary,LOF,0.8925218754081234,0.023805291719430906,0.5588969818462568,0.048390882987961084,0.7731913694383536,0.020455080401543337,0.6276923076923077,0.041281254969226897
urbansound8k,primary,AutoEncoder,0.8772051717382787,0.005522840648025603,0.6021616294681996,0.025838154332457938,0.7489411133946922,0.011175864360789515,0.5384615384615385,0.024325212770526048
urbansound8k,primary,MCD,0.8747133342039964,0.0197761432790203,0.5458672858927176,0.050577512986088535,0.7369727047146403,0.027062419975890054,0.5476923076923077,0.035418044409911795
urbansound8k,primary,INNE,0.8692281572417396,0.008929743583374694,0.6578843568261212,0.03794120257707313,0.7914780421080125,0.014372201546762109,0.626729301233118,0.029546045592919037
urbansound8k,primary,KPCA,0.8681311218492883,0.021915682227171843,0.6039239193133257,0.041389173182560426,0.7391310324917688,0.024239613960305613,0.5323076923076923,0.04691677132915969
urbansound8k,primary,KNN,0.8672378216011494,0.0186041969293697,0.6598171712275598,0.032919693286371454,0.7760480605981455,0.017879284228801633,0.6,0.021757131728816895
urbansound8k,primary,CBLOF,0.8363379913804362,0.006741953029757853,0.4768807333130223,0.03018627254645941,0.6935504491933766,0.017339538059613722,0.4769230769230769,0.03076923076923075
urbansound8k,primary,OCSVM,0.8346715423795221,0.007934055874921174,0.5104105812022917,0.026527336606689322,0.7077596695146513,0.014247029919210992,0.5107692307692308,0.03152907927987567
urbansound8k,primary,VAE,0.8249392712550607,0.011087522700647336,0.4926238966035449,0.03233830913890048,0.6948289490868349,0.016632020643904667,0.4800000000000001,0.029592898556417453
urbansound8k,primary,PCA,0.8165965782943712,0.007727904036662147,0.4655811659613086,0.02382363521207639,0.689728696823684,0.0160166512049144,0.4800000000000001,0.029592898556417453
urbansound8k,primary,Sampling,0.8130181533237562,0.02749348683760055,0.44232607684872677,0.06458088053734251,0.6753710055470399,0.0335301064401331,0.43692307692307697,0.049374789341172974
urbansound8k,primary,LUNAR,0.8121248530756171,0.03927713051073138,0.5084883506714016,0.07321452476771997,0.6989971336857227,0.03633216242516231,0.4615384615384615,0.05102499677469846
