dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
urbansound8k,primary,KNN,0.8478546596907014,0.0005790031093688132,0.5947321268421832,0.0013813035205537567,0.6651257053621198,0.0011860918629248184,0.5809523809523809,0.003726003792552146,0.2
urbansound8k,primary,AutoEncoder,0.8464132681935252,0.003581543606328209,0.5863645848207332,0.009949966226823174,0.6581023259093647,0.010547996840797045,0.5959183673469388,0.014904015170208609,0.2
urbansound8k,primary,KDE,0.8433849600960928,0.0006346193528611476,0.5715684798778129,0.0017466881190743102,0.6534253411846376,0.0013238296103222679,0.5523809523809524,0.0030422693571425805,0.2
urbansound8k,primary,KPCA,0.8396983241513922,0.0006437600450431295,0.5954793507329945,0.0014612663195899902,0.6748213001579865,0.0012845334333254678,0.5850340136054422,0.0,0.2
urbansound8k,primary,LUNAR,0.8329856900315304,0.0020673094561646857,0.5423841452889918,0.005044558240739002,0.6157784711597086,0.00516925259671002,0.5496598639455782,0.005691564806354222,0.2
urbansound8k,primary,MCD,0.8293313929986257,0.0018781351419161728,0.609743398075502,0.005500207262736825,0.6829850517635345,0.004749160748379597,0.5727891156462585,0.01474794788345498,0.2
urbansound8k,primary,GMM,0.8259727660164236,0.0008335107340050641,0.5911437200876151,0.001510781614518826,0.6633385549734147,0.0010840343264445541,0.5809523809523809,0.003726003792552146,0.2
urbansound8k,primary,VAE,0.8032685400136286,0.014053705012514513,0.5472443333360479,0.04021127529295833,0.6420787598392051,0.03566205781783144,0.5074829931972789,0.0528252208389583,0.2
urbansound8k,primary,CBLOF,0.8015591975330031,0.016306612785964916,0.53870801184964,0.03162807532528984,0.6359574658207487,0.021800564460228256,0.47619047619047616,0.038482001697227104,0.2
urbansound8k,primary,Sampling,0.7941743760322465,0.034259472597364116,0.5356550640183791,0.052389994047932584,0.6546763464567312,0.032542681990508984,0.5197278911564627,0.058241781749670755,0.2
urbansound8k,primary,OCSVM,0.7922548306249494,0.0009395521878086041,0.5584854583812348,0.0017672968762618242,0.6827540595364229,0.0013877957568014178,0.5401360544217687,0.003726003792552146,0.2
urbansound8k,primary,INNE,0.7789912569442038,0.005934413524857615,0.49428704144619245,0.013015264761318066,0.5988771346265251,0.015740480161625697,0.48571428571428565,0.007756295408837689,0.2
urbansound8k,primary,QMCD,0.7787602647170923,0.001076954037611531,0.474827681506822,0.002087260391251226,0.6367732331070217,0.0014283402975648713,0.4802721088435374,0.0037260037925521557,0.2
urbansound8k,primary,IForest,0.7622720395458693,0.01781770114361329,0.4838744888738211,0.020792480955819367,0.6418368258750198,0.01161541950359195,0.5034013605442177,0.02965237376558285,0.2
urbansound8k,primary,HBOS,0.7577307323608561,0.001228028415600488,0.44874838645083326,0.0021107070678698667,0.6262691655162647,0.0014131645535148426,0.49387755102040815,0.0037260037925521557,0.2
urbansound8k,primary,PCA,0.7515678597415197,0.000971095004139987,0.5078073372270625,0.0019839100149419225,0.6621532001237631,0.0013849972305395775,0.5469387755102041,0.0037260037925520993,0.2
urbansound8k,primary,SOD,0.7505468740976866,0.0054418565017676085,0.39785740867419855,0.0073270113369705596,0.559113646352116,0.0019622686491126916,0.4,0.021726148874382744,0.2
urbansound8k,primary,ABOD,0.7502604437360683,0.0004007066046261533,0.35214729833873154,0.0003563600030521296,0.521371947939215,0.0,0.3741496598639456,0.0,0.2
urbansound8k,primary,COPOD,0.7343242899876419,0.001077523651496529,0.4208614268780271,0.0019740092199787037,0.6057412510174296,0.0013133925354427273,0.43945578231292515,0.0037260037925521557,0.2
urbansound8k,primary,LODA,0.7235230934479053,0.03335575689233818,0.4485105700260677,0.06663247760726279,0.6127476099902923,0.045590617136236425,0.45714285714285713,0.05343493030382442,0.2
urbansound8k,primary,DIF,0.7226730420521349,0.005512676806519196,0.418158013877964,0.008079724951410896,0.5697550935305764,0.008208167416656916,0.3687074829931973,0.014747947883454952,0.2
urbansound8k,primary,LMDD,0.6991233844981116,0.016445621348167173,0.3725180633982859,0.03033694541884825,0.5741026103945287,0.04323492734327559,0.4163265306122449,0.07836427620590045,0.2
urbansound8k,primary,ECOD,0.6731991268493814,0.001056098129619434,0.3293268886364118,0.000820101376289317,0.5443374383083588,0.0001104258470854506,0.3741496598639456,0.0,0.2
urbansound8k,primary,LOF,0.6694455031588187,0.0007207919889234941,0.2555067921897876,0.0003268544482075355,0.48128263904972235,0.0,0.2108843537414966,0.0,0.2
urbansound8k,primary,COF,0.566921913077625,0.001846735544360141,0.2588144432022045,0.001659065602302741,0.5180043244176412,0.00016310978592489907,0.2761904761904762,0.017074694419062765,0.2
urbansound8k,secondary,MCD,0.8138964923830313,0.0024188040880992723,0.5786837589460023,0.006438612181415036,0.6680398546694167,0.004805520137532289,0.5510204081632653,0.006802721088435323,0.2
urbansound8k,secondary,KNN,0.7690147026552557,0.0036610865257259107,0.42236231209902925,0.00338878473371017,0.5828049386138157,0.0016312530327057626,0.4340136054421769,0.007452007585104311,0.2
