dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
urbansound8k,primary,LUNAR,0.7847285708066694,0.023645734292010705,0.3789305489858594,0.024967797780122616,0.6625585119910917,0.016146782607140312,0.44102564102564107,0.03202563076101743
urbansound8k,primary,KDE,0.7844412520134082,0.018773903199766642,0.389764608528774,0.02108800128190779,0.6642723433894911,0.01622080911693285,0.4307692307692308,0.02664693550105966
urbansound8k,primary,KNN,0.7715031996865612,0.016977386194002974,0.3883794416687269,0.022060375092025557,0.6610004834470923,0.014017035539886218,0.4102564102564103,0.03202563076101743
urbansound8k,primary,AutoEncoder,0.7585042009490227,0.026944858180515882,0.3753180832844654,0.03465666859123885,0.6657066461373494,0.020114114907793305,0.4256410256410257,0.03871709966805514
urbansound8k,primary,INNE,0.7522528405380697,0.003016932132887971,0.3035361659791893,0.0063706800261117665,0.6047144110766665,0.011208243466460608,0.35384615384615387,0.026646935501059652
urbansound8k,primary,VAE,0.7460798397980062,0.006716232606333829,0.3107783816823217,0.012232590726019583,0.5973229403664574,0.029095079107222723,0.3128205128205128,0.06937307312035224
urbansound8k,primary,DIF,0.7392364285403334,0.013418617520626595,0.3445144110282805,0.020634965743564364,0.6158268205448976,0.0038688443022620094,0.3333333333333333,0.0235003881792607
urbansound8k,primary,OCSVM,0.7348569936006268,0.008484944950126996,0.2905220252069132,0.007661756217940205,0.5759550371291949,0.007942773704717248,0.29743589743589743,0.008882311833686575
urbansound8k,primary,Sampling,0.7256453789560751,0.005937340831430877,0.3165857556142014,0.020684378033724887,0.6177102021083792,0.02062339151747105,0.37435897435897436,0.06937307312035222
urbansound8k,primary,LODA,0.7252448739715294,0.012379036950224706,0.2669987747681936,0.015044585490614373,0.5629500812236939,0.006583359203915083,0.26666666666666666,0.03871709966805512
urbansound8k,primary,IForest,0.7213094771668626,0.00489616164994167,0.2599964468661385,0.01074175666045732,0.562120660145859,0.0062015000735495445,0.2871794871794872,0.02350038817926074
urbansound8k,primary,PCA,0.7205955334987593,0.012014610091745207,0.2516135256117073,0.01067321876837648,0.5583493145820015,0.013183816683216961,0.25641025641025644,0.0355292473347462
urbansound8k,primary,CBLOF,0.7075181750903313,0.012471866980587644,0.28402562836129935,0.008108726645291407,0.5969609278518223,0.007768110475776621,0.3333333333333333,0.03202563076101742
urbansound8k,primary,ECOD,0.7027904749466719,0.011451787244260164,0.23320195463798177,0.012242918492911356,0.5484649982013935,0.013143588950392592,0.24615384615384617,0.015384615384615385
urbansound8k,primary,HBOS,0.7010317356667102,0.0077214212872524935,0.23205140588287124,0.01399151830775714,0.5511090642892985,0.013966151316201506,0.2512820512820513,0.017764623667373105
